File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated CpHs	Unmethylated CpHs	Methylated CHHs	Unmethylated CHHs
DRR041186_Oocyte_Amp_1_trimmed.fq.gz_bismark_bt2.bam	750303443	448275836	221761918	80260685	5004	385225967	63049869	1243801867	30893319	28304185	7227211	256794610	25630609	894951933
DRR041187_Oocyte_-Amp_1_trimmed.fq.gz_bismark_bt2.bam	347225006	84505974	247364876	15353415	741	41755732	42750242	853948378	23904522	19956974	5205683	184073939	18011729	602795531
DRR041188_Sperm-1_1_trimmed.fq.gz_bismark_bt2.bam	391666239	258932722	112600335	20133181	1	110968935	147963787	2915725413	112891295	35959231	2952119	650435810	8542805	2104944153
DRR041189_Sperm-2_1_trimmed.fq.gz_bismark_bt2.bam	456489255	272570401	161899329	22019525	0	127896794	144673607	2834017699	101813549	33212248	2638935	630589858	7669056	2058094053
DRR041190_Sperm-3_1_trimmed.fq.gz_bismark_bt2.bam	450180706	294861732	132206335	23112639	0	143941420	150920312	2983544264	105645012	39539135	2678683	669517476	7668651	2158495307
DRR041191_Blastocyst_1_trimmed.fq.gz_bismark_bt2.bam	149842046	98308525	43493019	8040464	38	20929517	77379008	1560051795	19273586	60390688	1751799	346979273	5462278	1126194171
DRR041192_Cord_blood-1_1_trimmed.fq.gz_bismark_bt2.bam	178727732	106884920	63232278	8610533	1	26496669	80388251	1507751776	50759213	15598750	1420889	324905228	4605352	1110462344
DRR041193_Cord_blood-2_1_trimmed.fq.gz_bismark_bt2.bam	160363383	99014631	53550805	7797945	2	22430562	76584069	1461375650	47918523	18221829	1379889	317552165	4403844	1071899400
DRR041194_Cord_blood-3_1_trimmed.fq.gz_bismark_bt2.bam	177087846	104026786	64839409	8221645	6	23939289	80087497	1534281226	53943082	17270569	1554472	334335003	4915764	1122262336
DRR041195_Cord_blood-4_1_trimmed.fq.gz_bismark_bt2.bam	179075285	107031832	63365531	8677918	4	24993628	82038204	1570357879	54419464	17832498	1591140	341499480	5054103	1149961194
DRR041196_Cord_blood-5_1_trimmed.fq.gz_bismark_bt2.bam	195614454	120604679	65347002	9662769	4	29417106	91187573	1777498890	65005081	17674093	1825659	388836558	5782248	1298375251
DRR041197_Blastocyst_1_trimmed.fq.gz_bismark_bt2.bam	149834051	98091034	43704085	8038898	34	20842926	77248108	1557004221	19237507	60207385	1769673	346124369	5504969	1124160318
DRR041198_Blastocyst_1_trimmed.fq.gz_bismark_bt2.bam	149838339	98081549	43723280	8033466	44	20877967	77203582	1556136122	19209174	60177025	1765475	345939599	5490915	1123553934
DRR041199_Blastocyst_1_trimmed.fq.gz_bismark_bt2.bam	149838870	98099043	43710037	8029760	30	20826268	77272775	1557735854	19309667	60140927	1782026	346083868	5553114	1124866252
DRR041200_Blastocyst_1_trimmed.fq.gz_bismark_bt2.bam	149836801	98050261	43759874	8026635	31	20820187	77230074	1556295158	19288709	59999765	1800008	345659058	5587788	1123959830
DRR041201_Blastocyst_1_trimmed.fq.gz_bismark_bt2.bam	149825256	98025250	43766982	8032986	38	20832559	77192691	1555667243	19271766	60024447	1791853	345584657	5564791	1123429729
DRR041202_Blastocyst_1_trimmed.fq.gz_bismark_bt2.bam	149840766	98183352	43613694	8043683	37	20863518	77319834	1558793146	19303498	60167597	1771382	346330778	5518092	1125701799
DRR041203_Blastocyst_1_trimmed.fq.gz_bismark_bt2.bam	149842451	98152607	43633169	8056638	37	20877262	77275345	1557332792	19305919	60051235	1772191	345928935	5517783	1124756729
DRR041204_Blastocyst_1_trimmed.fq.gz_bismark_bt2.bam	75308115	49297136	21960862	4050087	30	6574636	42722500	862194916	10705141	33069029	986648	191180168	3079904	623174026
