mode	p	total_cores	exit	wall_s	user_s	sys_s	cpu_core_s	peak_rss_kb	max_concurrent_align
faithful_dir	2	4	0	787	2997.47	89.75	3087.2	9976884	2
faithful_dir	4	8	0	414	2983.73	111.70	3095.4	10036712	2
faithful_dir	8	16	0	228	3051.79	104.10	3155.9	10213648	2
faithful_dir	12	24	0	165	3074.50	107.52	3182.0	10394288	2
faithful_dir	16	32	0	135	3160.84	90.19	3251.0	10582516	2
perl_dir	2	4	0	797	3502.68	83.11	3585.8	10240104	2
perl_dir	4	8	0	603	3921.59	735.50	4657.1	10335884	2
perl_dir	8	16	0	610	6096.05	2662.45	8758.5	10516772	2
perl_dir	12	24	0	596	9628.49	3090.12	12718.6	10686540	2
perl_dir	16	32	0	613	13909.46	3319.42	17228.9	10866516	2
comb_dir	2	2	0	1147	2286.78	47.18	2334.0	11276308	1
comb_dir	4	4	0	586	2273.62	45.92	2319.5	11334088	1
comb_dir	8	8	0	321	2355.23	49.73	2405.0	11445964	1
comb_dir	12	12	0	227	2368.12	47.71	2415.8	11567812	1
comb_dir	16	16	0	181	2379.77	44.54	2424.3	11676488	1
comb_dir	32	32	0	116	2560.20	45.10	2605.3	12149756	1
perl_nondir	2	8	0	905	7132.58	218.70	7351.3	17202240	4
perl_nondir	4	16	0	681	8055.35	1653.19	9708.5	17375216	4
perl_nondir	8	32	0	682	12585.10	5956.71	18541.8	17750548	4
faithful_nondir	2	8	0	904	6572.00	230.19	6802.2	16918900	4
faithful_nondir	4	16	0	483	6659.61	256.86	6916.5	17109100	4
faithful_nondir	8	32	0	278	6836.16	319.86	7156.0	17479484	4
comb1pass	8	8	0	737	5656.43	101.60	5758.0	11440348	1
comb1pass	16	16	0	389	5664.10	66.30	5730.4	11662188	1
comb1pass	32	32	0	226	5971.28	68.33	6039.6	12103092	1
