shape	arm	rep	wall_s	peak_temp_kb	peak_conv_kb	mem_peak_bytes	anon_peak_bytes	cpu_usec	pids_peak	out_kb	rc
pe_directional_p4	stream	1	2946.77	0	0	10282188800	NA	18946392331	29	855968	0
pe_directional_p4	files	1	2955.66	3346733	3346733	17055068160	NA	18899105881	23	855968	0
pe_nondirectional_p4	stream	1	3045.21	0	0	24644321280	24453640192	25299810433	53	855968	0
pe_nondirectional_p4	files	1	2973.18	6693466	6693466	32851959808	25727512576	24884257865	41	855968	0
pe_directional_mc2	stream	1	1633.93	4111947	0	20177555456	16053960704	19800446222	55	855972	0
pe_directional_mc2	files	1	1642.17	7432797	3346733	26766770176	19421114368	19659927126	43	855968	0
pe_nondirectional_p4	files	2	3000.42	6693466	6693466	32613359616	24995012608	24983934752	41	855968	0
pe_nondirectional_p4	stream	2	2958.10	0	0	24094343168	23835160576	24887986630	53	855968	0
pe_directional_p4	files	2	2961.14	3346733	3346733	17054801920	12934344704	18984858732	23	855968	0
pe_directional_p4	stream	2	2943.24	0	0	10288308224	9374478336	18828211220	29	855968	0
pe_nondirectional_p4	stream	3	2972.02	0	0	24586076160	24074919936	25012525681	53	855968	0
pe_nondirectional_p4	files	3	2988.33	6693466	6693466	32824610816	25539002368	25031157714	41	855968	0
pe_directional_p4	stream	3	2974.40	0	0	10280660992	9363329024	19017827240	29	855968	0
pe_directional_p4	files	3	2960.02	3346733	3346733	17054777344	12930134016	18981579127	23	855968	0
pe_directional_p4	files	4	2938.87	3346733	3346733	17054859264	12934172672	18909627960	23	855968	0
pe_directional_p4	stream	4	2937.24	0	0	10286010368	9371631616	18783841658	29	855968	0
