t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6688768	339968	36.2	2	0
1.00	0	0	0	378667008	352694272	98.7	2	0
2.01	0	0	0	902729728	875307008	100.0	2	0
3.01	0	0	0	1339867136	1306193920	101.0	2	0
4.01	0	1	0	1730674688	1688141824	100.0	2	0
5.02	0	1	0	2109255680	2064080896	101.0	2	0
6.02	0	1	0	2533122048	2488655872	100.0	2	0
7.03	0	1	0	2752876544	2707836928	100.0	2	0
8.03	0	2	0	3136651264	3090817024	101.0	2	0
9.03	0	2	0	3136593920	3090817024	100.0	2	0
10.04	0	2	0	3136675840	3090817024	101.0	2	0
11.04	0	2	0	3136573440	3090817024	100.0	2	0
12.04	0	2	0	3136897024	3090817024	100.0	2	0
13.05	0	2	0	3136892928	3090817024	101.0	2	0
14.05	41707	2	0	3178868736	3090817024	100.0	2	0
15.06	443384	2	0	3591249920	3090817024	100.0	2	0
16.06	847774	2	0	4005376000	3090817024	101.0	2	0
17.06	1253060	2	0	4421722112	3090817024	100.0	2	0
18.07	1657350	2	0	4843311104	3098349568	100.9	2	0
19.07	2062943	2	0	5259902976	3098349568	100.0	2	0
20.08	2468805	2	0	5676167168	3098349568	100.0	2	0
21.08	2874150	2	0	6091829248	3098349568	101.0	2	0
22.08	3290543	2	21935	6519087104	3098406912	102.1	4	0
23.09	4046971	2	778362	6991429632	2790322176	201.6	4	0
24.09	4805366	2	1536758	7770697728	2789928960	199.6	4	0
25.10	5562580	2	2293972	8547590144	2789928960	199.6	4	0
26.10	6319138	2	3050530	9324675072	2789928960	201.6	4	0
27.10	6615341	3	3346733	11074772992	4231213056	162.5	12	0
28.11	6615341	3	3346733	14704562176	7854014464	201.6	12	0
29.11	6615341	3	3346733	18205818880	11347333120	713.9	30	0
30.12	6615341	3	3346733	21774696448	14910300160	998.7	30	0
31.12	6615836	3	3346733	22642757632	15773736960	1512.1	40	0
32.13	6616843	3	3346733	22654382080	15783907328	1644.7	40	0
33.13	6617009	3	3346733	22663741440	15793192960	1604.2	40	0
34.14	6617457	3	3346733	22672797696	15801884672	1628.8	40	0
35.14	6618394	3	3346733	22686277632	15813799936	1626.0	40	0
36.15	6618907	3	3346733	22693167104	15821033472	1630.6	40	0
37.16	6619666	3	3346733	22698688512	15824982016	1620.5	40	0
38.16	6619798	3	3346733	22706638848	15833370624	1621.6	40	0
39.17	6620094	3	3346733	22714134528	15839641600	1624.1	40	0
40.17	6620127	3	3346733	22717542400	15844241408	1601.7	40	0
41.18	6621760	3	3346733	22721990656	15846903808	1660.6	40	0
42.18	6622438	3	3346733	22726144000	15849889792	1619.4	40	0
43.19	6623032	3	3346733	22730801152	15853551616	1632.2	40	0
44.20	6623611	3	3346733	22737309696	15859154944	1616.2	40	0
45.20	6623611	3	3346733	22741577728	15864803328	1615.9	40	0
46.21	6624174	3	3346733	22746394624	15870275584	1616.6	40	0
47.21	6624174	3	3346733	22752591872	15875674112	1615.8	40	0
48.22	6625406	3	3346733	22758842368	15879512064	1649.3	40	0
49.22	6625406	3	3346733	22759784448	15881908224	1599.5	40	0
50.23	6626013	3	3346733	22765236224	15885926400	1632.5	40	0
51.24	6626560	3	3346733	22768259072	15888683008	1615.5	40	0
52.24	6627721	3	3346733	22770667520	15889575936	1647.7	40	0
53.25	6627721	3	3346733	22772506624	15891525632	1600.2	40	0
54.25	6629499	3	3346733	22777266176	15894233088	1664.5	40	0
55.26	6629499	3	3346733	22779392000	15896883200	1616.1	40	0
56.26	6630106	3	3346733	22784737280	15901650944	1616.3	40	0
57.27	6630106	3	3346733	22790021120	15906799616	1616.0	40	0
58.28	6631264	3	3346733	22796595200	15912370176	1632.3	40	0
59.28	6631264	3	3346733	22802354176	15917953024	1616.0	40	0
60.29	6633026	3	3346733	22810107904	15923187712	1664.3	40	0
61.29	6633026	3	3346733	22815092736	15928864768	1600.9	40	0
62.30	6633339	3	3346733	22821732352	15934353408	1624.8	40	0
63.30	6633339	3	3346733	22827036672	15939723264	1600.6	40	0
64.31	6633950	3	3346733	22832734208	15945113600	1634.0	40	0
65.32	6633950	3	3346733	22837809152	15950462976	1600.6	40	0
66.32	6633950	3	3346733	22843650048	15957000192	1616.2	40	0
67.33	6634230	3	3346733	22850666496	15963021312	1623.7	40	0
68.33	6634230	3	3346733	22856749056	15968550912	1600.2	40	0
69.34	6634230	3	3346733	22861623296	15973863424	1616.2	40	0
70.34	6636025	3	3346733	22869307392	15978467328	1647.7	40	0
71.35	6637145	3	3346733	22872662016	15981096960	1648.0	40	0
72.36	6637737	3	3346733	22875062272	15982645248	1616.1	40	0
73.36	6640033	3	3346733	22877171712	15982981120	1680.1	40	0
74.37	6640033	3	3346733	22877327360	15983050752	1616.2	40	0
75.37	6640033	3	3346733	22876844032	15983112192	1599.8	40	0
76.38	6640033	3	3346733	22877175808	15983968256	1616.2	40	0
77.38	6641204	3	3346733	22881660928	15986388992	1632.4	40	0
78.39	6641204	3	3346733	22883868672	15989055488	1616.1	40	0
79.40	6641204	3	3346733	22886805504	15991599104	1600.8	40	0
80.40	6642750	3	3346733	22891397120	15994470400	1657.4	40	0
81.41	6643590	3	3346733	22895652864	15998164992	1638.8	40	0
82.41	6644200	3	3346733	22901456896	16003723264	1616.6	40	0
83.42	6644200	3	3346733	22907576320	16009252864	1616.7	40	0
84.42	6644200	3	3346733	22911750144	16014082048	1600.6	40	0
85.43	6646130	3	3346733	22919290880	16019320832	1668.7	40	0
86.44	6646510	3	3346733	22924763136	16024637440	1611.6	40	0
87.44	6646510	3	3346733	22930567168	16029999104	1616.5	40	0
88.45	6646510	3	3346733	22935470080	16035639296	1616.5	40	0
89.45	6647219	3	3346733	22941454336	16040480768	1618.5	40	0
90.46	6649279	3	3346733	22949036032	16045604864	1672.2	40	0
91.46	6650051	3	3346733	22955347968	16051187712	1621.7	40	0
