t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6459392	303104	74.4	2	0
1.00	0	0	0	378064896	352759808	98.5	2	0
2.01	0	0	0	901926912	875376640	101.0	2	0
3.01	0	1	0	1341861888	1309204480	100.0	2	0
4.01	0	1	0	1732636672	1690001408	100.0	2	0
5.02	0	1	0	2109067264	2063843328	101.0	2	0
6.02	0	1	0	2535211008	2491662336	100.0	2	0
7.03	0	1	0	2754912256	2710544384	100.0	2	0
8.03	0	2	0	3138097152	3093209088	101.0	2	0
9.03	0	2	0	3138240512	3093209088	100.0	2	0
10.04	0	2	0	3138375680	3093209088	101.0	2	0
11.04	0	2	0	3138330624	3093209088	100.0	2	0
12.04	0	2	0	3138240512	3093209088	100.0	2	0
13.05	0	2	0	3138170880	3093209088	101.0	2	0
14.05	43376	2	0	3181707264	3093209088	100.0	2	0
15.06	446729	2	0	3595862016	3093209088	101.0	2	0
16.06	850152	2	0	4015120384	3098238976	99.9	2	0
17.06	1253807	2	0	4429111296	3098238976	100.0	2	0
18.07	1658388	2	0	4844580864	3098238976	101.0	2	0
19.07	2064299	2	0	5260886016	3098238976	100.0	2	0
20.08	2470288	2	0	5677649920	3098238976	100.0	2	0
21.08	2876305	2	0	6094766080	3098238976	101.0	2	0
22.08	3268608	3	0	6527803392	3124236288	107.8	20	8
23.09	3268608	3	0	13854851072	10437574656	400.8	32	8
24.09	3268675	3	0	19486248960	16053960704	710.1	52	8
25.10	3269186	3	0	19231633408	15794380800	1634.5	52	8
26.10	3269764	3	0	19244609536	15807721472	1617.7	52	8
27.11	3270392	3	0	19251027968	15814377472	1461.2	52	8
28.11	3270887	3	0	19257036800	15818747904	1249.1	52	8
29.12	3270904	3	0	19262541824	15825108992	1240.7	52	8
30.12	3271561	3	0	19271671808	15834787840	1348.1	52	8
31.13	3272322	3	0	19274379264	15835889664	1303.2	52	8
32.13	3272322	3	0	19274792960	15836704768	1224.8	52	8
33.14	3273246	3	0	19281743872	15842082816	1254.9	52	8
34.14	3273377	3	0	19292221440	15852199936	1270.6	52	8
35.15	3274681	3	0	19295539200	15854252032	1291.9	52	8
36.15	3274681	3	0	19295703040	15854780416	1258.8	52	8
37.16	3275606	3	0	19297525760	15855276032	1299.6	52	8
38.16	3275738	3	0	19297808384	15855599616	1240.8	52	8
39.17	3277010	3	0	19299504128	15856087040	1298.5	52	8
40.17	3277010	3	0	19300073472	15856398336	1242.6	52	8
41.18	3277934	3	0	19301486592	15856631808	1301.7	52	8
42.18	3278081	3	0	19300921344	15856910336	1294.7	52	8
43.19	3279384	3	0	19303522304	15857102848	1307.6	52	8
44.19	3279384	3	0	19303088128	15857295360	1299.5	52	8
45.20	3280291	3	0	19303907328	15857438720	1291.5	52	8
46.20	3280291	3	0	19304108032	15857684480	1293.5	52	8
47.21	3281660	3	0	19305365504	15857803264	1358.0	52	8
48.21	3281743	3	0	19305205760	15857930240	1233.3	52	8
49.22	3282203	3	0	19305914368	15858024448	1267.5	52	8
50.22	3282650	3	0	19306201088	15858126848	1297.9	52	8
51.23	3283570	3	0	19308908544	15858470912	1302.3	52	8
52.23	3284100	3	0	19308642304	15858696192	1270.3	52	8
53.24	3284725	3	0	19310182400	15858855936	1361.8	52	8
54.24	3285006	3	0	19310661632	15859056640	1275.2	52	8
55.25	3285863	3	0	19311759360	15859134464	1271.2	52	8
56.25	3286424	3	0	19311951872	15859257344	1303.3	52	8
57.26	3286903	3	0	19313016832	15860092928	1371.8	52	8
58.26	3287365	3	0	19312717824	15860211712	1343.2	52	8
59.27	3288190	3	0	19314364416	15860330496	1267.9	52	8
60.27	3288784	3	0	19314688000	15860473856	1339.1	52	8
61.28	3289260	3	0	19315388416	15860572160	1343.5	52	8
62.28	3289705	3	0	19315429376	15860674560	1268.3	52	8
63.29	3290544	3	0	19316805632	15860789248	1281.5	52	8
64.29	3291122	3	0	19317497856	15860895744	1313.7	52	8
65.30	3291583	3	0	19317719040	15861006336	1267.1	52	8
66.30	3292046	3	0	19318571008	15861129216	1307.1	52	8
67.31	3292754	3	0	19319717888	15861248000	1286.0	52	8
68.31	3293448	3	0	19320651776	15861317632	1312.6	52	8
69.32	3293909	3	0	19321393152	15861403648	1350.6	52	8
70.32	3294371	3	0	19320958976	15861436416	1247.8	52	8
71.33	3295111	3	0	19324194816	15861510144	1332.5	52	8
72.33	3295803	3	0	19323686912	15861755904	1317.2	52	8
73.34	3296280	3	0	19324186624	15861809152	1300.2	52	8
74.34	3296841	3	0	19325612032	15861936128	1328.1	52	8
75.35	3297466	3	0	19326021632	15862161408	1231.6	52	8
76.35	3298159	3	0	19325943808	15862247424	1266.0	52	8
77.36	3298637	3	0	19326939136	15862284288	1313.7	52	8
78.36	3299231	3	0	19327668224	15862358016	1374.2	52	8
79.37	3299825	3	0	19328552960	15862415360	1277.5	52	8
80.37	3300518	3	0	19328765952	15862464512	1322.0	52	8
