t_s	temp_kb	out_kb	converted_kb	mem_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6205440	73.0	2	0
1.00	0	0	0	523137024	98.4	2	0
2.01	0	0	0	897232896	100.0	2	0
3.01	0	0	0	1341550592	101.0	2	0
4.01	0	1	0	1725313024	100.0	2	0
5.02	0	1	0	2051510272	101.0	2	0
6.02	0	1	0	2523635712	100.0	2	0
7.02	0	1	0	2685943808	100.0	2	0
8.03	61292	2	61292	2898690048	101.0	2	0
9.03	330555	2	330555	3174830080	100.0	2	0
10.04	600563	2	600563	3451428864	101.0	2	0
11.04	870491	2	870491	3728728064	100.0	2	0
12.04	1140160	2	1140160	4005449728	100.0	2	0
13.05	1409985	2	1409985	4282474496	101.0	2	0
14.05	1680006	2	1680006	4559613952	100.0	2	0
15.05	1950564	2	1950564	4837445632	100.0	2	0
16.06	2221729	2	2221729	5115453440	101.0	2	0
17.06	2493389	2	2493389	5397676032	100.0	2	0
18.07	2765120	2	2765120	5677060096	101.0	2	0
19.07	3036640	2	3036640	5955584000	100.0	2	0
20.07	3308480	2	3308480	6234300416	100.0	2	0
21.08	3346733	2	3346733	7817687040	100.8	6	0
22.08	3346733	2	3346733	9617215488	144.9	15	0
23.09	3346733	2	3346733	11489501184	499.4	15	0
24.09	3346733	2	3346733	12775243776	610.9	20	0
25.09	3346733	351	3346733	12782796800	809.4	20	0
26.10	3346733	584	3346733	12791304192	814.3	20	0
27.10	3346733	1181	3346733	12796657664	815.7	20	0
28.11	3346733	1181	3346733	12799959040	799.6	20	0
29.11	3346733	1744	3346733	12804104192	818.3	20	0
30.11	3346733	1744	3346733	12804042752	799.3	20	0
31.12	3346733	2323	3346733	12807794688	818.0	20	0
32.12	3346733	2323	3346733	12810891264	799.5	20	0
33.13	3346733	2356	3346733	12813701120	808.0	20	0
34.13	3346733	2886	3346733	12815749120	809.2	20	0
35.13	3346733	3465	3346733	12816920576	809.9	20	0
36.14	3346733	3465	3346733	12817027072	807.5	20	0
37.14	3346733	4044	3346733	12820340736	809.8	20	0
38.15	3346733	4044	3346733	12822753280	807.5	20	0
39.15	3346733	4608	3346733	12826214400	809.8	20	0
40.15	3346733	4608	3346733	12828286976	799.7	20	0
41.16	3346733	4657	3346733	12831649792	808.5	20	0
42.16	3346733	4657	3346733	12833529856	799.6	20	0
43.17	3346733	4657	3346733	12837535744	807.5	20	0
44.17	3346733	5204	3346733	12840124416	809.2	20	0
45.17	3346733	6365	3346733	12842676224	820.1	20	0
46.18	3346733	6365	3346733	12842647552	807.7	20	0
47.18	3346733	6945	3346733	12843450368	809.9	20	0
48.19	3346733	6945	3346733	12844019712	799.6	20	0
49.19	3346733	6945	3346733	12846755840	807.7	20	0
50.19	3346733	6945	3346733	12849532928	800.1	20	0
51.20	3346733	8104	3346733	12853882880	832.2	20	0
52.20	3346733	8104	3346733	12855709696	799.6	20	0
53.21	3346733	8682	3346733	12859060224	809.6	20	0
54.21	3346733	8682	3346733	12861804544	807.8	20	0
55.21	3346733	8682	3346733	12864827392	799.9	20	0
56.22	3346733	8682	3346733	12866994176	807.5	20	0
57.22	3346733	9292	3346733	12870352896	810.7	20	0
58.23	3346733	9292	3346733	12872368128	800.3	20	0
59.23	3346733	9292	3346733	12876845056	807.1	20	0
60.23	3346733	9292	3346733	12880289792	799.5	20	0
61.24	3346733	9292	3346733	12885012480	807.4	20	0
62.24	3346733	9292	3346733	12888350720	799.5	20	0
63.25	3346733	9836	3346733	12892205056	812.9	20	0
64.25	3346733	9836	3346733	12893327360	807.5	20	0
65.25	3346733	12132	3346733	12896464896	840.5	20	0
66.26	3346733	12132	3346733	12896661504	807.7	20	0
67.26	3346733	12132	3346733	12896481280	799.8	20	0
68.27	3346733	12132	3346733	12896632832	799.7	20	0
69.27	3346733	13303	3346733	12898144256	828.4	20	0
70.27	3346733	13303	3346733	12897533952	799.8	20	0
71.28	3346733	13303	3346733	12897685504	807.6	20	0
72.28	3346733	13303	3346733	12897341440	799.8	20	0
73.28	3346733	13303	3346733	12900044800	799.8	20	0
74.29	3346733	13303	3346733	12902522880	807.6	20	0
75.29	3346733	13303	3346733	12905586688	799.8	20	0
76.30	3346733	13303	3346733	12908068864	807.6	20	0
77.30	3346733	15613	3346733	12913885184	840.7	20	0
78.30	3346733	15613	3346733	12915798016	799.7	20	0
79.31	3346733	15613	3346733	12919209984	807.7	20	0
80.31	3346733	15613	3346733	12921942016	799.7	20	0
81.32	3346733	16770	3346733	12926648320	828.3	20	0
82.32	3346733	16770	3346733	12928221184	799.9	20	0
83.32	3346733	16770	3346733	12932083712	799.6	20	0
84.33	3346733	16770	3346733	12934115328	807.5	20	0
85.33	3346733	16770	3346733	12936966144	799.5	20	0
86.34	3346733	16770	3346733	12939616256	807.5	20	0
87.34	3346733	16770	3346733	12942245888	799.8	20	0
88.35	3346733	16770	3346733	12945014784	799.6	20	0
89.35	3346733	18124	3346733	12950081536	831.8	20	0
90.35	3346733	18503	3346733	12952305664	806.8	20	0
91.36	3346733	18503	3346733	12953989120	807.5	20	0
92.36	3346733	18503	3346733	12956442624	799.7	20	0
93.37	3346733	18503	3346733	12960636928	800.5	20	0
94.37	3346733	18503	3346733	12964646912	806.7	20	0
95.37	3346733	18503	3346733	12968873984	800.6	20	0
96.38	3346733	18503	3346733	12973293568	806.8	20	0
97.38	3346733	18503	3346733	12977815552	799.7	20	0
98.39	3346733	18503	3346733	12981731328	799.7	20	0
99.39	3346733	18503	3346733	12985626624	807.7	20	0
100.39	3346733	18503	3346733	12989472768	799.7	20	0
101.40	3346733	19031	3346733	12993466368	817.1	20	0
