t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6180864	303104	35.5	2	0
1.00	0	0	0	378466304	356163584	98.7	2	0
2.01	0	0	0	897605632	874975232	100.0	2	0
3.01	0	0	0	1333129216	1301000192	101.0	2	0
4.02	0	1	0	1749385216	1702649856	100.0	2	0
5.02	0	1	0	2203271168	2156183552	101.0	2	0
6.02	0	1	0	2557181952	2511974400	100.0	2	0
7.03	0	1	0	2792816640	2746568704	101.0	2	0
8.03	81788	2	81788	2922655744	2787450880	100.0	2	0
9.04	349002	2	349002	3197333504	2784956416	100.7	2	0
10.04	617130	2	617130	3471998976	2784956416	100.0	2	0
11.04	886201	2	886201	3748401152	2784956416	100.0	2	0
12.05	1155312	2	1155312	4024909824	2784956416	101.0	2	0
13.05	1423819	2	1423819	4300427264	2784956416	100.0	2	0
14.06	1692718	2	1692718	4576436224	2784956416	101.0	2	0
15.06	1962059	2	1962059	4852740096	2784956416	100.0	2	0
16.06	2232179	2	2232179	5129723904	2784956416	100.0	2	0
17.07	2502331	2	2502331	5409935360	2789801984	101.0	2	0
18.07	2771094	2	2771094	5686136832	2789801984	100.0	2	0
19.08	3041506	2	3041506	5963186176	2789801984	101.1	2	0
20.08	3311915	2	3311915	6240755712	2789801984	100.0	2	0
21.08	3346733	2	3346733	7793094656	4302016512	99.8	6	0
22.09	3346733	2	3346733	9549160448	6052171776	129.6	15	0
23.09	3346733	2	3346733	11396796416	7897194496	499.3	15	0
24.10	3346733	2	3346733	12771213312	9267761152	593.8	20	0
25.10	3346733	385	3346733	12785610752	9281064960	806.1	20	0
26.11	3346733	584	3346733	12791926784	9288556544	803.2	20	0
27.11	3346733	1181	3346733	12798242816	9294270464	818.1	20	0
28.11	3346733	1181	3346733	12801478656	9296740352	800.3	20	0
29.12	3346733	1744	3346733	12805390336	9299529728	818.5	20	0
30.12	3346733	1744	3346733	12805033984	9299853312	800.3	20	0
31.13	3346733	2323	3346733	12808404992	9302810624	810.2	20	0
32.13	3346733	2323	3346733	12811776000	9305698304	808.1	20	0
33.13	3346733	2406	3346733	12814344192	9308299264	801.5	20	0
34.14	3346733	2886	3346733	12817522688	9310162944	816.8	20	0
35.14	3346733	3465	3346733	12818010112	9310285824	810.5	20	0
36.15	3346733	3465	3346733	12817391616	9310396416	808.0	20	0
37.15	3346733	4044	3346733	12820664320	9312845824	810.4	20	0
38.16	3346733	4044	3346733	12823232512	9315483648	800.1	20	0
39.16	3346733	4608	3346733	12826800128	9318400000	818.5	20	0
40.16	3346733	4608	3346733	12829716480	9320792064	800.2	20	0
41.17	3346733	4707	3346733	12831526912	9323532288	809.7	20	0
42.17	3346733	4707	3346733	12834705408	9325932544	800.1	20	0
43.18	3346733	4707	3346733	12838764544	9329807360	800.1	20	0
44.18	3346733	5204	3346733	12841709568	9333026816	817.1	20	0
45.18	3346733	6365	3346733	12844318720	9334136832	820.8	20	0
46.19	3346733	6365	3346733	12844355584	9334198272	808.2	20	0
47.19	3346733	6945	3346733	12845240320	9334206464	810.6	20	0
48.20	3346733	6945	3346733	12845088768	9334255616	807.5	20	0
49.20	3346733	6945	3346733	12847497216	9336401920	799.6	20	0
50.21	3346733	6945	3346733	12850409472	9339060224	799.5	20	0
51.21	3346733	8104	3346733	12853989376	9341964288	828.1	20	0
52.21	3346733	8104	3346733	12856901632	9344528384	799.6	20	0
53.22	3346733	8682	3346733	12859592704	9347215360	817.9	20	0
54.22	3346733	8682	3346733	12862251008	9349615616	799.6	20	0
55.23	3346733	8682	3346733	12864630784	9352626176	799.8	20	0
