t_s	temp_kb	out_kb	converted_kb	mem_bytes	cpu_pct	pids	fifos
0.00	0	0	0	5820416	32.8	2	0
1.00	0	0	0	647118848	98.5	2	0
2.01	0	0	0	897601536	101.0	2	0
3.01	0	1	0	1339121664	100.0	2	0
4.01	0	1	0	1714929664	100.0	2	0
5.02	0	1	0	2032902144	101.0	2	0
6.02	0	1	0	2481827840	100.0	2	0
7.02	0	1	0	2610888704	101.0	2	0
8.03	0	2	0	3549097984	116.2	16	4
9.03	0	2	0	6819852288	199.6	16	4
10.04	0	36	0	9331679232	316.7	26	4
11.04	0	285	0	9352839168	805.5	26	4
12.04	0	567	0	9358450688	805.2	26	4
13.05	0	849	0	9366978560	803.4	26	4
14.05	0	1131	0	9369509888	636.9	26	4
15.06	0	1148	0	9372454912	616.9	26	4
16.06	0	1148	0	9375248384	594.0	26	4
17.06	0	1843	0	9380085760	681.2	26	4
18.07	0	1843	0	9380519936	634.6	26	4
19.07	0	2290	0	9384079360	634.5	26	4
20.08	0	2290	0	9388609536	612.7	26	4
21.08	0	2985	0	9390325760	604.1	26	4
22.09	0	2985	0	9391198208	682.4	26	4
23.09	0	3448	0	9391599616	684.5	26	4
24.09	0	3448	0	9391312896	625.7	26	4
25.10	0	4143	0	9392521216	651.9	26	4
26.10	0	4143	0	9392525312	636.0	26	4
27.11	0	4591	0	9393561600	688.5	26	4
28.11	0	4723	0	9393598464	662.0	26	4
29.11	0	5303	0	9393434624	672.3	26	4
30.12	0	5303	0	9393156096	685.1	26	4
31.12	0	5750	0	9394208768	644.5	26	4
32.13	0	5883	0	9395023872	607.5	26	4
33.13	0	6464	0	9395523584	656.7	26	4
34.13	0	6464	0	9395232768	659.6	26	4
35.14	0	6911	0	9395818496	675.0	26	4
36.14	0	7044	0	9395884032	639.7	26	4
37.15	0	7623	0	9396137984	630.4	26	4
38.15	0	7623	0	9396342784	696.0	26	4
39.15	0	8070	0	9396563968	646.1	26	4
40.16	0	8203	0	9397178368	623.1	26	4
41.16	0	8781	0	9397772288	625.8	26	4
42.17	0	8781	0	9397780480	676.0	26	4
43.17	0	9226	0	9398865920	671.2	26	4
44.17	0	9358	0	9399173120	610.7	26	4
45.18	0	9935	0	9399472128	645.4	26	4
46.18	0	9935	0	9400107008	657.9	26	4
47.19	0	10380	0	9400246272	636.2	26	4
48.19	0	10495	0	9400238080	595.9	26	4
49.19	0	11073	0	9401057280	647.0	26	4
50.20	0	11073	0	9400430592	661.3	26	4
51.20	0	11536	0	9401356288	613.7	26	4
52.20	0	11619	0	9402089472	650.5	26	4
53.21	0	12231	0	9401888768	646.4	26	4
54.21	0	12231	0	9402101760	617.5	26	4
55.22	0	12692	0	9402757120	695.6	26	4
56.22	0	12824	0	9403326464	665.7	26	4
57.22	0	13401	0	9403748352	643.3	26	4
58.23	0	13401	0	9404559360	676.2	26	4
59.23	0	13863	0	9404387328	605.4	26	4
60.24	0	13995	0	9404964864	620.0	26	4
61.24	0	14555	0	9405538304	665.6	26	4
62.24	0	14555	0	9405009920	636.3	26	4
63.25	0	15018	0	9405173760	661.5	26	4
64.25	0	15150	0	9405792256	683.2	26	4
65.26	0	15727	0	9406390272	650.9	26	4
66.26	0	15727	0	9406144512	621.4	26	4
67.26	0	16173	0	9407242240	616.5	26	4
68.27	0	16173	0	9406832640	614.4	26	4
69.27	0	16869	0	9406803968	707.5	26	4
70.28	0	16869	0	9407381504	714.4	26	4
71.28	0	17316	0	9407692800	651.5	26	4
72.28	0	17316	0	9408335872	628.4	26	4
73.29	0	18008	0	9408798720	617.9	26	4
74.29	0	18008	0	9408708608	664.0	26	4
75.30	0	18436	0	9409265664	653.7	26	4
76.30	0	18436	0	9409413120	683.1	26	4
77.30	0	19129	0	9410088960	615.1	26	4
78.31	0	19129	0	9410502656	634.8	26	4
79.31	0	19575	0	9410699264	704.4	26	4
80.32	0	19575	0	9410838528	634.0	26	4
81.32	0	20268	0	9411571712	628.3	26	4
82.33	0	20268	0	9411297280	633.3	26	4
83.33	0	20697	0	9411866624	673.3	26	4
84.33	0	20697	0	9412026368	657.1	26	4
85.34	0	21357	0	9412141056	665.7	26	4
86.34	0	21357	0	9412128768	640.7	26	4
87.35	0	21820	0	9413267456	630.4	26	4
88.35	0	21936	0	9412968448	643.3	26	4
89.35	0	22515	0	9413341184	646.0	26	4
90.36	0	22515	0	9413738496	666.1	26	4
91.36	0	22960	0	9413562368	627.6	26	4
92.37	0	23092	0	9414897664	664.6	26	4
93.37	0	23668	0	9415557120	614.6	26	4
94.37	0	23668	0	9415237632	700.1	26	4
95.38	0	24129	0	9415606272	660.7	26	4
96.38	0	24245	0	9416208384	604.7	26	4
97.39	0	24822	0	9416957952	633.6	26	4
98.39	0	24822	0	9416720384	634.0	26	4
99.39	0	25284	0	9416605696	619.7	26	4
100.40	0	25416	0	9416859648	670.8	26	4
101.40	0	25994	0	9417314304	609.7	26	4
102.41	0	25994	0	9417822208	681.2	26	4
103.41	0	26456	0	9418407936	657.6	26	4
104.41	0	26572	0	9418457088	605.5	26	4
105.42	0	27150	0	9418940416	628.9	26	4
106.42	0	27150	0	9419227136	640.5	26	4
107.43	0	27613	0	9419927552	620.2	26	4
108.43	0	27713	0	9419739136	643.4	26	4
109.43	0	28291	0	9419714560	629.1	26	4
110.44	0	28291	0	9420410880	630.2	26	4
111.44	0	28752	0	9421000704	613.9	26	4
112.45	0	28752	0	9421107200	619.2	26	4
113.45	0	29429	0	9422008320	625.0	26	4
114.45	0	29429	0	9421848576	696.5	26	4
115.46	0	29891	0	9422241792	631.2	26	4
116.46	0	29891	0	9422577664	640.3	26	4
117.47	0	30584	0	9422839808	654.4	26	4
118.47	0	30584	0	9423319040	705.8	26	4
119.47	0	31046	0	9423634432	635.5	26	4
120.48	0	31046	0	9423224832	619.2	26	4
121.48	0	31722	0	9424101376	631.6	26	4
122.49	0	31722	0	9424388096	631.6	26	4
123.49	0	32186	0	9423896576	608.4	26	4
124.49	0	32186	0	9422483456	660.1	26	4
125.50	0	32798	0	9424584704	710.7	26	4
126.50	0	32880	0	9423581184	636.8	26	4
127.51	0	32880	0	9423622144	619.8	26	4
128.51	0	33327	0	9424199680	640.0	26	4
129.52	0	33443	0	9425006592	679.5	26	4
130.52	0	34036	0	9425711104	680.9	26	4
131.52	0	34036	0	9426247680	609.1	26	4
132.53	0	34483	0	9426169856	645.5	26	4
133.53	0	34483	0	9426579456	624.2	26	4
134.54	0	35193	0	9427128320	625.3	26	4
135.54	0	35193	0	9427206144	630.0	26	4
136.54	0	35637	0	9428250624	641.8	26	4
137.55	0	35637	0	9428590592	672.0	26	4
138.55	0	36330	0	9429172224	621.3	26	4
139.56	0	36330	0	9429053440	658.2	26	4
140.56	0	36793	0	9429348352	611.8	26	4
141.56	0	36793	0	9429311488	612.7	26	4
142.57	0	37486	0	9430642688	666.9	26	4
143.57	0	37486	0	9430466560	618.8	26	4
144.58	0	37950	0	9431498752	662.6	26	4
145.58	0	37950	0	9431801856	623.9	26	4
146.58	0	38663	0	9432244224	659.6	26	4
147.59	0	38663	0	9432264704	634.9	26	4
148.59	0	39125	0	9432825856	612.4	26	4
149.59	0	39125	0	9431621632	616.7	26	4
150.60	0	39835	0	9432731648	622.2	26	4
151.60	0	39835	0	9433079808	679.9	26	4
152.61	0	40297	0	9433833472	642.8	26	4
153.61	0	40297	0	9433387008	660.3	26	4
154.61	0	41006	0	9434939392	700.0	26	4
155.62	0	41006	0	9434681344	645.6	26	4
156.62	0	41484	0	9434947584	618.2	26	4
157.63	0	41484	0	9434701824	574.7	26	4
158.63	0	42210	0	9436344320	624.7	26	4
159.63	0	42210	0	9435328512	664.0	26	4
160.64	0	42673	0	9436082176	622.9	26	4
161.64	0	42673	0	9435709440	612.1	26	4
162.65	0	43383	0	9436667904	680.8	26	4
163.65	0	43383	0	9437306880	693.5	26	4
164.65	0	43846	0	9437761536	617.5	26	4
165.66	0	43846	0	9437405184	658.0	26	4
166.66	0	44555	0	9437888512	687.7	26	4
167.67	0	44555	0	9438085120	657.7	26	4
168.67	0	44919	0	9438961664	638.2	26	4
169.67	0	45001	0	9438154752	689.9	26	4
170.68	0	45133	0	9438752768	608.9	26	4
171.68	0	45710	0	9439408128	632.6	26	4
172.68	0	45710	0	9439797248	607.8	26	4
173.69	0	46188	0	9439854592	684.1	26	4
174.69	0	46303	0	9440141312	725.6	26	4
175.70	0	46881	0	9440407552	667.0	26	4
176.70	0	46881	0	9440370688	630.1	26	4
177.70	0	47359	0	9440763904	698.1	26	4
178.71	0	47474	0	9441832960	676.3	26	4
179.71	0	48068	0	9442410496	665.5	26	4
180.72	0	48068	0	9441763328	654.5	26	4
