t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6160384	315392	50.8	2	0
1.00	0	0	0	382550016	360620032	98.5	2	0
2.01	0	0	0	761217024	729112576	101.0	2	0
3.01	0	1	0	1340583936	1307963392	100.0	2	0
4.01	0	1	0	1741225984	1699188736	100.0	2	0
5.02	0	1	0	2183786496	2138615808	101.0	2	0
6.02	0	1	0	2549526528	2505240576	100.0	2	0
7.03	0	1	0	2771169280	2726432768	101.0	2	0
8.03	0	2	0	4029231104	3976978432	128.7	16	4
9.03	0	2	0	7571984384	7513284608	199.6	16	4
10.04	0	102	0	9345867776	9275359232	485.1	26	4
11.04	0	318	0	9355132928	9283256320	804.1	26	4
12.05	0	567	0	9358753792	9287659520	813.0	26	4
13.05	0	932	0	9370947584	9299116032	738.0	26	4
14.05	0	1148	0	9372303360	9300660224	589.7	26	4
15.06	0	1148	0	9375625216	9304092672	635.0	26	4
16.06	0	1164	0	9379209216	9307676672	601.9	26	4
17.07	0	1843	0	9380282368	9308168192	700.4	26	4
18.07	0	1843	0	9381036032	9308655616	620.1	26	4
19.08	0	2290	0	9384689664	9311694848	630.6	26	4
20.08	0	2290	0	9389281280	9316294656	591.4	26	4
21.08	0	2985	0	9390362624	9317240832	605.3	26	4
22.09	0	2985	0	9391280128	9317457920	675.2	26	4
23.09	0	3448	0	9391587328	9319608320	694.1	26	4
24.10	0	3448	0	9392271360	9319714816	629.9	26	4
25.10	0	4143	0	9392705536	9319936000	633.3	26	4
26.10	0	4143	0	9392361472	9320042496	600.8	26	4
27.11	0	4591	0	9394577408	9320185856	713.1	26	4
28.11	0	4591	0	9394532352	9320259584	664.7	26	4
29.12	0	5303	0	9393115136	9320325120	654.9	26	4
30.12	0	5303	0	9393807360	9320407040	636.9	26	4
31.13	0	5750	0	9394253824	9320480768	647.7	26	4
32.13	0	5750	0	9394872320	9320628224	641.6	26	4
33.13	0	6464	0	9395691520	9320693760	650.6	26	4
34.14	0	6464	0	9395703808	9320771584	637.0	26	4
