t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6176768	323584	35.0	2	0
1.00	0	0	0	647577600	631943168	98.7	2	0
2.01	0	0	0	898732032	872706048	100.0	2	0
3.01	0	0	0	1334353920	1301282816	101.0	2	0
4.01	0	1	0	1844080640	1795002368	100.0	2	0
5.02	0	1	0	2245001216	2196938752	101.0	2	0
6.02	0	1	0	2555740160	2508972032	100.0	2	0
7.03	0	1	0	2805817344	2758545408	100.0	2	0
8.03	105986	2	105986	2947743744	2786172928	101.0	2	0
9.03	378892	2	378892	3227574272	2785091584	100.0	2	0
10.04	652220	2	652220	3508350976	2785091584	101.0	2	0
11.04	925289	2	925289	3788705792	2785091584	100.0	2	0
12.05	1198835	2	1198835	4069343232	2785091584	100.0	2	0
13.05	1472606	2	1472606	4350050304	2785091584	101.0	2	0
14.05	1746130	2	1746130	4631105536	2785091584	100.0	2	0
15.06	2020334	2	2020334	4912410624	2785091584	100.0	2	0
16.06	2294808	2	2294808	5194223616	2785091584	101.0	2	0
17.06	2569521	2	2569521	5476110336	2785091584	100.0	2	0
18.07	2844414	2	2844414	5758013440	2785091584	101.0	2	0
19.07	3119278	2	3119278	6039859200	2785091584	100.0	2	0
20.08	3393641	2	3393641	6321467392	2785091584	100.0	2	0
21.08	3668309	2	3668309	6606225408	2791710720	100.9	2	0
22.08	3944293	2	3944293	6889426944	2791710720	100.0	2	0
23.09	4220161	2	4220161	7172743168	2791710720	101.0	2	0
24.09	4495759	2	4495759	7455510528	2791710720	100.0	2	0
25.10	4771285	2	4771285	7738150912	2791710720	100.0	2	0
26.10	5046642	2	5046642	8020783104	2791710720	101.0	2	0
27.10	5321180	2	5321180	8302706688	2791710720	100.0	2	0
28.11	5596420	2	5596420	8585076736	2791710720	101.0	2	0
29.11	5871565	2	5871565	8867737600	2791710720	100.0	2	0
30.12	6146400	2	6146400	9149489152	2791710720	100.0	2	0
31.12	6421208	2	6421208	9431773184	2793799680	101.0	2	0
32.12	6693466	3	6693466	9713192960	2794840064	100.6	3	0
33.13	6693466	3	6693466	11548528640	4626128896	100.3	6	0
34.13	6693466	3	6693466	13383241728	6456045568	211.7	15	0
35.14	6693466	3	6693466	15248953344	8317825024	499.3	15	0
36.14	6693466	3	6693466	17139240960	10201763840	719.0	24	0
37.14	6693466	3	6693466	18987900928	12047319040	901.0	24	0
38.15	6693466	3	6693466	20863037440	13917945856	1233.4	33	0
39.15	6693466	3	6693466	22631272448	15682359296	1319.2	38	0
40.16	6693466	3	6693466	22724452352	15774752768	1621.7	38	0
41.16	6693466	3	6693466	22757486592	15807533056	1608.5	38	0
42.17	6693466	20	6693466	22784024576	15833878528	1623.5	38	0
43.17	6693466	20	6693466	22812930048	15863717888	1610.0	38	0
44.18	6693466	136	6693466	22831370240	15881891840	1626.0	38	0
45.19	6693466	2323	6693466	22855950336	15903113216	1680.3	38	0
46.19	6693466	2323	6693466	22869241856	15917707264	1623.9	38	0
47.20	6693466	2770	6693466	22881214464	15929344000	1638.8	38	0
48.20	6693466	2770	6693466	22894645248	15942062080	1608.7	38	0
49.21	6693466	2902	6693466	22905958400	15952498688	1627.6	38	0
50.21	6693466	2902	6693466	22910545920	15958343680	1609.0	38	0
51.22	6693466	3465	6693466	22917771264	15964262400	1641.6	38	0
52.23	6693466	3465	6693466	22932819968	15979585536	1608.4	38	0
53.23	6693466	3465	6693466	22952882176	16000212992	1623.8	38	0
54.24	6693466	3465	6693466	22992822272	16039493632	1609.0	38	0
55.24	6693466	5204	6693466	23008415744	16053927936	1679.8	38	0
56.25	6693466	5552	6693466	23020277760	16065605632	1635.4	38	0
57.25	6693466	5552	6693466	23032147968	16077062144	1609.5	38	0
58.26	6693466	5784	6693466	23041564672	16086138880	1630.2	38	0
59.26	6693466	6945	6693466	23049490432	16091955200	1646.7	38	0
60.27	6693466	6945	6693466	23054409728	16097382400	1623.6	38	0
61.28	6693466	6945	6693466	23061708800	16105181184	1608.1	38	0
62.28	6693466	6945	6693466	23070588928	16113811456	1624.1	38	0
63.29	6693466	6945	6693466	23084064768	16127098880	1624.1	38	0
64.29	6693466	6945	6693466	23098015744	16140996608	1608.3	38	0
65.30	6693466	6945	6693466	23112130560	16154796032	1623.9	38	0
66.30	6693466	6945	6693466	23125348352	16168607744	1609.8	38	0
