t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6205440	303104	59.6	2	0
1.00	0	0	0	647548928	631939072	98.4	2	0
2.01	0	0	0	898977792	872701952	101.0	2	0
3.01	0	1	0	1334206464	1301278720	100.0	2	0
4.01	0	1	0	1831493632	1784512512	100.0	2	0
5.02	0	1	0	2205409280	2157023232	101.0	2	0
6.02	0	1	0	2366902272	2321436672	100.0	2	0
7.03	0	1	0	2785091584	2738540544	101.0	2	0
8.03	0	2	0	5544247296	5487190016	207.1	30	8
9.03	0	2	0	12894781440	12824588288	398.8	30	8
10.04	0	135	0	15824826368	15737634816	1146.4	50	8
11.04	0	401	0	15845416960	15757275136	1623.6	50	8
12.05	0	418	0	15862353920	15774539776	1633.0	50	8
13.05	0	584	0	15888793600	15800430592	1592.0	50	8
14.06	0	750	0	15915266048	15827062784	1408.4	50	8
15.07	0	1330	0	15928913920	15839875072	1494.9	50	8
16.07	0	1629	0	15947370496	15859548160	1440.8	50	8
17.08	0	1629	0	15959482368	15872589824	1476.9	50	8
18.08	0	2191	0	15974297600	15885492224	1429.5	50	8
19.09	0	2489	0	15985717248	15897862144	1492.4	50	8
20.09	0	2489	0	15998517248	15909621760	1441.2	50	8
21.10	0	2869	0	16010633216	15920898048	1441.8	50	8
22.10	0	3051	0	16023183360	15933837312	1505.7	50	8
23.11	0	3167	0	16035921920	15946825728	1477.6	50	8
24.11	0	3167	0	16046776320	15958663168	1459.5	50	8
25.12	0	3167	0	16059916288	15970951168	1454.9	50	8
26.12	0	3167	0	16073273344	15984099328	1443.9	50	8
27.13	0	3167	0	16087875584	15998623744	1452.7	50	8
28.13	0	3167	0	16102678528	16012996608	1480.9	50	8
29.14	0	3167	0	16116043776	16027303936	1477.8	50	8
30.15	0	3167	0	16129200128	16040624128	1476.8	50	8
31.15	0	4027	0	16135360512	16045260800	1465.3	50	8
32.16	0	4027	0	16136974336	16046952448	1441.1	50	8
33.16	0	4027	0	16145846272	16055533568	1425.7	50	8
34.17	0	4027	0	16159854592	16069332992	1479.0	50	8
35.17	0	4027	0	16231055360	16140165120	1473.3	50	8
36.18	0	4027	0	16244170752	16154120192	1480.1	50	8
37.18	0	4027	0	16258506752	16168169472	1438.9	50	8
38.19	0	4027	0	16273485824	16183177216	1490.0	50	8
39.19	0	5950	0	16288964608	16195825664	1504.6	50	8
40.20	0	5950	0	16300171264	16207888384	1443.0	50	8
41.20	0	5950	0	16312897536	16219860992	1408.8	50	8
42.21	0	5950	0	16328486912	16235704320	1511.6	50	8
43.21	0	5950	0	16341319680	16249274368	1436.0	50	8
44.22	0	5950	0	16355766272	16263512064	1458.6	50	8
45.22	0	5950	0	16370151424	16277442560	1415.2	50	8
46.23	0	5950	0	16383975424	16291467264	1448.6	50	8
47.23	0	6166	0	16410849280	16318545920	1449.3	50	8
48.24	0	8650	0	16427147264	16331104256	1525.6	50	8
49.24	0	8650	0	16438009856	16342675456	1398.6	50	8
50.25	0	8650	0	16452370432	16356614144	1482.5	50	8
51.25	0	8650	0	16466079744	16370098176	1454.6	50	8
52.26	0	8650	0	16477908992	16382574592	1422.0	50	8
53.27	0	8650	0	16491196416	16394739712	1443.9	50	8
54.27	0	8650	0	16502145024	16406208512	1450.4	50	8
55.27	0	9985	0	16514875392	16417943552	1483.9	50	8
56.28	0	12891	0	16528871424	16428298240	1572.5	50	8
57.29	0	12891	0	16539000832	16439234560	1519.6	50	8
58.29	0	12891	0	16549978112	16450093056	1448.6	50	8
59.30	0	12891	0	16560660480	16460886016	1469.7	50	8
60.30	0	12891	0	16572960768	16473497600	1418.9	50	8
61.30	0	12891	0	16583852032	16484134912	1412.8	50	8
62.31	0	12891	0	16595271680	16495243264	1464.5	50	8
63.32	0	12891	0	16605151232	16505810944	1472.5	50	8
64.32	0	12891	0	16616079360	16516235264	1497.7	50	8
65.33	0	12891	0	16626311168	16526884864	1456.6	50	8
66.33	0	12891	0	16637059072	16537460736	1451.1	50	8
67.34	0	12891	0	16647696384	16547880960	1459.5	50	8
68.34	0	12891	0	16670339072	16570564608	1419.4	50	8
69.35	0	12891	0	16666976256	16567693312	1401.0	50	8
70.35	0	12891	0	16677773312	16578437120	1436.6	50	8
71.36	0	12891	0	16688181248	16588849152	1526.1	50	8
72.36	0	12891	0	16700096512	16599846912	1475.6	50	8
73.37	0	13270	0	16712839168	16611880960	1470.2	50	8
74.37	0	13270	0	16724058112	16623603712	1395.8	50	8
75.38	0	13270	0	16738873344	16638754816	1467.5	50	8
76.38	0	13270	0	16751013888	16651091968	1439.4	50	8
77.39	0	13270	0	16763404288	16662663168	1451.3	50	8
78.39	0	13270	0	16775090176	16674811904	1457.9	50	8
79.40	0	13270	0	16790446080	16690212864	1446.5	50	8
80.40	0	13270	0	16802603008	16701759488	1437.6	50	8
81.41	0	13270	0	16815013888	16714256384	1468.3	50	8
82.42	0	13270	0	16828452864	16727523328	1433.4	50	8
83.42	0	13270	0	16841564160	16740761600	1421.2	50	8
84.43	0	13270	0	16855298048	16754003968	1434.5	50	8
85.43	0	13270	0	16868241408	16767365120	1418.1	50	8
86.44	0	13270	0	16883224576	16781467648	1470.7	50	8
87.44	0	13270	0	16896372736	16795361280	1501.5	50	8
88.45	0	13270	0	16910114816	16808636416	1453.4	50	8
89.45	0	15926	0	16924954624	16821092352	1512.3	50	8
90.46	0	17498	0	16938340352	16832942080	1480.8	50	8
91.46	0	17498	0	16950403072	16844931072	1437.3	50	8
92.47	0	17498	0	16963325952	16857305088	1486.9	50	8
93.47	0	17498	0	16977010688	16870592512	1434.9	50	8
94.48	0	17498	0	16991592448	16885837824	1485.4	50	8
95.48	0	17498	0	17003896832	16898023424	1405.4	50	8
96.49	0	17498	0	17015529472	16910512128	1435.3	50	8
97.49	0	17498	0	17027289088	16922443776	1523.1	50	8
98.50	0	17498	0	17040191488	16934371328	1436.6	50	8
99.50	0	17498	0	17051189248	16946024448	1413.4	50	8
100.51	0	17498	0	17063149568	16957984768	1457.5	50	8
101.52	0	17498	0	17075691520	16969826304	1484.1	50	8
102.52	0	17498	0	17088552960	16981893120	1372.8	50	8
103.52	0	17498	0	17100627968	16994627584	1457.9	50	8
104.53	0	17498	0	17111408640	17006780416	1482.2	50	8
105.53	0	17498	0	17125826560	17019588608	1535.0	50	8
106.54	0	20928	0	17141227520	17031823360	1525.2	50	8
107.54	0	22400	0	17151840256	17040756736	1446.1	50	8
108.55	0	22400	0	17164894208	17053184000	1451.5	50	8
109.55	0	22400	0	17177104384	17065627648	1436.7	50	8
110.56	0	22400	0	17189552128	17078317056	1424.2	50	8
111.56	0	22400	0	17202364416	17090961408	1459.0	50	8
112.57	0	22400	0	17214967808	17103380480	1464.0	50	8
113.58	0	22400	0	17227501568	17115922432	1460.9	50	8
114.58	0	22400	0	17238749184	17128349696	1454.3	50	8
115.59	0	22400	0	17252171776	17140617216	1418.2	50	8
116.59	0	22400	0	17263898624	17152806912	1432.6	50	8
