shape	rep	records	records_md5_stream	records_md5_files	bam_verdict	report_verdict
pe_directional_p2	1	2398276	eb80652982b2f90aebd34c27a2b5f021	eb80652982b2f90aebd34c27a2b5f021	IDENTICAL	IDENTICAL
pe_directional_mc2	1	2398276	eb80652982b2f90aebd34c27a2b5f021	eb80652982b2f90aebd34c27a2b5f021	IDENTICAL	IDENTICAL
pe_directional_mc2	2	2398276	eb80652982b2f90aebd34c27a2b5f021	eb80652982b2f90aebd34c27a2b5f021	IDENTICAL	IDENTICAL
pe_directional_mc2	3	2398276	eb80652982b2f90aebd34c27a2b5f021	eb80652982b2f90aebd34c27a2b5f021	IDENTICAL	IDENTICAL
pe_directional_mc2	4	2398276	eb80652982b2f90aebd34c27a2b5f021	eb80652982b2f90aebd34c27a2b5f021	IDENTICAL	IDENTICAL
pe_directional_mc2	5	2398276	eb80652982b2f90aebd34c27a2b5f021	eb80652982b2f90aebd34c27a2b5f021	IDENTICAL	IDENTICAL
pe_directional_p4	1	2398276	eb80652982b2f90aebd34c27a2b5f021	eb80652982b2f90aebd34c27a2b5f021	IDENTICAL	IDENTICAL
pe_directional_p4	2	2398276	eb80652982b2f90aebd34c27a2b5f021	eb80652982b2f90aebd34c27a2b5f021	IDENTICAL	IDENTICAL
pe_directional_p4	3	2398276	eb80652982b2f90aebd34c27a2b5f021	eb80652982b2f90aebd34c27a2b5f021	IDENTICAL	IDENTICAL
pe_directional_p4	4	2398276	eb80652982b2f90aebd34c27a2b5f021	eb80652982b2f90aebd34c27a2b5f021	IDENTICAL	IDENTICAL
pe_directional_p4	5	2398276	eb80652982b2f90aebd34c27a2b5f021	eb80652982b2f90aebd34c27a2b5f021	IDENTICAL	IDENTICAL
pe_nondirectional_p4	1	2398274	c4488ac6ad8df8b9169f8fe0439df927	c4488ac6ad8df8b9169f8fe0439df927	IDENTICAL	IDENTICAL
pe_nondirectional_p4	2	2398274	c4488ac6ad8df8b9169f8fe0439df927	c4488ac6ad8df8b9169f8fe0439df927	IDENTICAL	IDENTICAL
pe_nondirectional_p4	3	2398274	c4488ac6ad8df8b9169f8fe0439df927	c4488ac6ad8df8b9169f8fe0439df927	IDENTICAL	IDENTICAL
pe_nondirectional_p4	4	2398274	c4488ac6ad8df8b9169f8fe0439df927	c4488ac6ad8df8b9169f8fe0439df927	IDENTICAL	IDENTICAL
pe_nondirectional_p4	5	2398274	c4488ac6ad8df8b9169f8fe0439df927	c4488ac6ad8df8b9169f8fe0439df927	IDENTICAL	IDENTICAL
