shape	arm	rep	wall_s	peak_temp_kb	peak_conv_kb	mem_peak_bytes	anon_peak_bytes	cpu_usec	pids_peak	out_kb	rc
pe_directional_p2	stream	1	1181.78	0	0	9491611648	9220648960	3805189105	25	169256	0
pe_directional_p2	files	1	1202.83	667625	667625	10759442432	9928200192	3813038977	19	169256	0
pe_directional_p4	stream	1	603.52	0	0	9601388544	9347497984	3840699396	29	169256	0
pe_directional_p4	files	1	607.45	667625	667625	10897145856	10054553600	3805310501	23	169256	0
pe_directional_p4	files	2	607.51	667625	667625	10900602880	10058530816	3830117121	23	169256	0
pe_directional_p4	stream	2	609.58	0	0	9616433152	9344438272	3855278913	29	169256	0
pe_directional_p4	stream	3	608.55	0	0	9582264320	9353117696	3851759448	29	169256	0
pe_directional_p4	files	3	610.49	667625	667625	10896957440	10052849664	3817028452	23	169256	0
pe_directional_p4	files	4	604.48	667625	667625	10901704704	10054225920	3808122233	23	169256	0
pe_directional_p4	stream	4	601.49	0	0	9605304320	9345036288	3820871473	29	169256	0
pe_directional_p4	stream	5	603.51	0	0	9569001472	9344724992	3839716176	29	169256	0
pe_directional_p4	files	5	614.49	667625	667625	10895097856	10051883008	3859607207	23	169256	0
pe_nondirectional_p4	stream	1	613.71	0	0	17742319616	17628909568	5103514319	53	169256	0
pe_nondirectional_p4	files	1	615.70	1335250	1335250	19291000832	17587154944	5074928764	41	169256	0
pe_nondirectional_p4	files	2	611.70	1335250	1335250	19287400448	17565904896	5018278864	41	169256	0
pe_nondirectional_p4	stream	2	610.67	0	0	17771147264	17660579840	5033572957	53	169256	0
pe_nondirectional_p4	stream	3	603.62	0	0	17751064576	17631985664	5031958693	53	169256	0
pe_nondirectional_p4	files	3	618.77	1335250	1335250	19186581504	17536036864	5081141434	41	169256	0
pe_nondirectional_p4	files	4	617.75	1335250	1335250	19287232512	17564045312	5091872109	41	169256	0
pe_nondirectional_p4	stream	4	614.72	0	0	17784852480	17559724032	5100355226	53	169256	0
pe_nondirectional_p4	stream	5	616.72	0	0	17758769152	17652215808	5110839752	53	169256	0
pe_nondirectional_p4	files	5	619.75	1335250	1335250	19294355456	17576267776	5115326357	41	169256	0
pe_directional_mc2	stream	1	339.61	819071	0	16798920704	15869739008	4071937182	55	169260	0
pe_directional_mc2	files	1	338.67	1487801	667625	18089402368	16557461504	4047440979	43	169256	0
pe_directional_mc2	files	2	340.71	1486098	667625	18089000960	16556101632	4058854278	43	169256	0
pe_directional_mc2	stream	2	340.68	820786	0	16797536256	15875276800	4098706610	55	169260	0
pe_directional_mc2	stream	3	337.61	820687	0	16802869248	15875514368	4061171745	55	169260	0
pe_directional_mc2	files	3	334.66	1478833	667625	18090557440	16556081152	3996619986	43	169256	0
pe_directional_mc2	files	4	337.66	1481648	667625	18085384192	16555126784	3994125796	43	169256	0
pe_directional_mc2	stream	4	335.59	820324	0	16802820096	15872421888	4033877789	55	169260	0
pe_directional_mc2	stream	5	333.58	820194	0	16806248448	15873789952	4034316501	55	169260	0
pe_directional_mc2	files	5	334.65	1478998	667625	18090590208	16557785088	3992742640	43	169256	0
