t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6242304	323584	60.8	2	0
1.00	0	0	0	646873088	631934976	98.4	2	0
2.01	0	0	0	898043904	874901504	101.0	2	0
3.01	0	0	0	1336504320	1304088576	100.0	2	0
4.01	0	1	0	1739182080	1696833536	100.0	2	0
5.02	0	1	0	2178486272	2133835776	101.0	2	0
6.02	0	1	0	2547867648	2503798784	100.0	2	0
7.03	0	1	0	2769567744	2724950016	101.0	2	0
8.03	0	2	0	3139932160	3094368256	100.0	2	0
9.03	24345	2	0	3164340224	3094368256	100.0	2	0
10.04	427960	2	0	3577921536	3094368256	101.0	2	0
11.04	989663	2	337663	3850727424	2786213888	143.9	4	0
12.04	1319625	3	667625	6125928448	4715692032	201.2	12	0
13.05	1319625	3	667625	9737515008	8320901120	199.6	12	0
14.05	1319625	3	667625	13353115648	11926892544	821.8	30	0
15.06	1319625	3	667625	16916889600	15484395520	1007.8	32	0
16.06	1320336	3	667625	17209667584	15775010816	1606.3	40	0
17.07	1320799	3	667625	17224691712	15788408832	1628.3	40	0
18.07	1321972	3	667625	17236758528	15799566336	1632.0	40	0
19.08	1321972	3	667625	17242361856	15806357504	1616.0	40	0
20.08	1322136	3	667625	17249017856	15812657152	1620.8	40	0
21.09	1323126	3	667625	17251979264	15814983680	1626.9	40	0
22.10	1324280	3	667625	17257377792	15818280960	1647.7	40	0
23.10	1324280	3	667625	17263194112	15824457728	1600.4	40	0
24.11	1324313	3	667625	17268985856	15830003712	1616.5	40	0
25.11	1324429	3	667625	17274482688	15835033600	1603.1	40	0
26.12	1325783	3	667625	17276489728	15836569600	1653.2	40	0
27.12	1326591	3	667625	17277849600	15836786688	1637.5	40	0
28.13	1326707	3	667625	17280163840	15838810112	1602.6	40	0
29.14	1327747	3	667625	17285906432	15843823616	1644.5	40	0
30.14	1327747	3	667625	17290641408	15849447424	1600.4	40	0
31.15	1328904	3	667625	17297842176	15854931968	1647.4	40	0
32.15	1328904	3	667625	17303818240	15860195328	1600.1	40	0
33.16	1329053	3	667625	17309696000	15865573376	1619.8	40	0
34.17	1329053	3	667625	17314377728	15870922752	1616.1	40	0
35.17	1329399	3	667625	17321709568	15877529600	1608.9	40	0
36.18	1330077	3	667625	17325256704	15881023488	1635.2	40	0
37.18	1331681	3	667625	17330180096	15883673600	1643.3	40	0
38.19	1332405	3	667625	17330573312	15883739136	1636.8	40	0
39.19	1332985	3	667625	17330925568	15883849728	1615.7	40	0
40.20	1333560	3	667625	17333501952	15885082624	1631.6	40	0
41.20	1333560	3	667625	17339355136	15890255872	1616.0	40	0
42.21	1333560	3	667625	17343295488	15895621632	1600.5	40	0
43.22	1334719	3	667625	17351155712	15901220864	1647.9	40	0
44.22	1335902	3	667625	17356972032	15906369536	1631.9	40	0
45.23	1336481	3	667625	17362661376	15911239680	1631.6	40	0
46.23	1337074	3	667625	17368158208	15916404736	1616.0	40	0
47.24	1337074	3	667625	17372762112	15921680384	1616.5	40	0
48.24	1337074	3	667625	17377902592	15926480896	1615.6	40	0
49.25	1337684	3	667625	17384218624	15931965440	1616.6	40	0
50.26	1338377	3	667625	17389535232	15936745472	1634.4	40	0
51.26	1338377	3	667625	17394692096	15942008832	1601.0	40	0
52.27	1338377	3	667625	17402273792	15949660160	1615.1	40	0
53.27	1338377	3	667625	17409900544	15957155840	1599.4	40	0
54.28	1338377	3	667625	17418813440	15965184000	1615.8	40	0
55.28	1338987	3	667625	17426907136	15972683776	1631.8	40	0
56.29	1339399	3	667625	17429569536	15975739392	1611.3	40	0
57.30	1339399	3	667625	17432838144	15978651648	1615.7	40	0
58.30	1342616	3	667625	17438101504	15980208128	1686.9	40	0
59.31	1344031	3	667625	17439436800	15980285952	1655.6	40	0
60.31	1344031	3	667625	17439293440	15980355584	1600.4	40	0
61.32	1344031	3	667625	17438941184	15980482560	1616.2	40	0
62.32	1345548	3	667625	17441566720	15980904448	1640.3	40	0
63.33	1346370	3	667625	17441423360	15980912640	1639.3	40	0
64.34	1346370	3	667625	17441964032	15980978176	1616.1	40	0
65.34	1346370	3	667625	17443778560	15982268416	1600.3	40	0
66.35	1346370	3	667625	17448230912	15987507200	1616.5	40	0
67.35	1346370	3	667625	17453518848	15992590336	1600.3	40	0
68.36	1346370	3	667625	17458892800	15997829120	1616.2	40	0
69.36	1346370	3	667625	17464381440	16003096576	1600.9	40	0
70.37	1348003	3	667625	17471545344	16008454144	1658.9	40	0
71.37	1350985	3	667625	17479905280	16013828096	1698.1	40	0
72.38	1350985	3	667625	17485541376	16019144704	1600.0	40	0
73.39	1350985	3	667625	17489907712	16024371200	1616.1	40	0
74.39	1351183	3	667625	17496240128	16030003200	1604.8	40	0
75.40	1353261	3	667625	17503965184	16034988032	1673.9	40	0
76.40	1353261	3	667625	17508638720	16040308736	1600.1	40	0
77.41	1353261	3	667625	17514090496	16045707264	1615.9	40	0
78.41	1353261	3	667625	17518866432	16050745344	1615.5	40	0
79.42	1353261	3	667625	17524908032	16056193024	1600.5	40	0
80.43	1353261	3	667625	17530441728	16061685760	1616.1	40	0
81.43	1353261	3	667625	17535815680	16066945024	1599.8	40	0
82.44	1353261	3	667625	17539993600	16072028160	1616.2	40	0
83.44	1354994	3	667625	17546637312	16076468224	1647.1	40	0
84.45	1356341	3	667625	17553285120	16081674240	1651.7	40	0
85.45	1356801	3	667625	17559916544	16086966272	1630.0	40	0
86.46	1356801	3	667625	17564815360	16092123136	1600.4	40	0
87.47	1356801	3	667625	17570238464	16098054144	1616.0	40	0
