t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6139904	323584	61.2	2	0
1.00	0	0	0	647802880	631951360	98.7	2	0
2.01	0	0	0	899284992	872779776	100.0	2	0
3.01	0	1	0	1333354496	1301028864	101.0	2	0
4.01	0	1	0	1854332928	1808498688	100.0	2	0
5.02	0	1	0	2248495104	2201665536	101.0	2	0
6.02	0	1	0	2557841408	2511421440	100.0	2	0
7.03	0	1	0	2807885824	2760937472	100.0	2	0
8.03	0	2	0	3147161600	3097563136	101.0	2	0
9.03	74463	2	0	3222532096	3097563136	100.0	2	0
10.04	483964	2	0	3642974208	3097563136	101.0	2	0
11.04	652000	3	0	7874174976	7144820736	274.0	32	8
12.05	652000	3	0	15177347072	14433054720	398.8	32	8
13.05	652364	3	0	16545550336	15790014464	1407.3	52	8
14.06	652925	3	0	16557846528	15802699776	1618.0	52	8
15.06	653323	3	0	16569327616	15814483968	1624.3	52	8
16.07	654016	3	0	16572968960	15817646080	1449.8	52	8
17.07	654297	3	0	16577695744	15821803520	1235.6	52	8
18.08	654297	3	0	16585175040	15829045248	1278.0	52	8
19.08	655140	3	0	16591310848	15834660864	1331.3	52	8
20.09	655863	3	0	16592707584	15835348992	1345.4	52	8
21.09	656128	3	0	16594796544	15837212672	1273.9	52	8
22.10	656589	3	0	16602312704	15844806656	1275.5	52	8
23.10	657018	3	0	16609402880	15851077632	1194.6	52	8
24.11	658173	3	0	16612552704	15852662784	1296.9	52	8
25.11	658636	3	0	16613060608	15853010944	1374.2	52	8
26.12	658868	3	0	16613941248	15853367296	1346.5	52	8
27.12	659032	3	0	16613826560	15853764608	1318.0	52	8
28.12	659908	3	0	16614150144	15854034944	1235.2	52	8
29.13	660518	3	0	16615981056	15854243840	1272.4	52	8
30.13	660950	3	0	16616407040	15854514176	1387.0	52	8
31.14	661941	3	0	16617500672	15854731264	1342.8	52	8
32.14	662238	3	0	16617050112	15855054848	1325.7	52	8
33.15	663278	3	0	16619622400	15855190016	1308.3	52	8
34.15	663278	3	0	16619147264	15855312896	1288.1	52	8
35.16	663857	3	0	16621539328	15855468544	1346.1	52	8
36.16	664584	3	0	16622215168	15855648768	1265.0	52	8
37.17	665159	3	0	16622411776	15855738880	1294.6	52	8
38.17	665606	3	0	16623165440	15855882240	1319.0	52	8
39.18	666002	3	0	16624357376	15856029696	1257.4	52	8
40.18	666893	3	0	16624078848	15856361472	1386.3	52	8
41.19	667600	3	0	16626065408	15856549888	1380.6	52	8
42.19	667931	3	0	16625643520	15856799744	1300.8	52	8
43.19	668360	3	0	16627314688	15856939008	1214.4	52	8
44.20	669217	3	0	16627458048	15857061888	1356.3	52	8
45.20	669812	3	0	16629792768	15858429952	1443.8	52	8
46.21	670273	3	0	16628940800	15858589696	1292.0	52	8
47.21	670718	3	0	16630325248	15858757632	1276.5	52	8
48.22	671560	3	0	16631074816	15858761728	1340.0	52	8
49.22	672136	3	0	16632094720	15858929664	1366.2	52	8
50.23	672581	3	0	16632610816	15859027968	1300.5	52	8
51.23	672976	3	0	16633221120	15859134464	1279.0	52	8
52.24	673866	3	0	16634937344	15859269632	1351.9	52	8
53.24	674442	3	0	16636223488	15859355648	1317.4	52	8
54.25	674905	3	0	16636055552	15859408896	1303.1	52	8
55.25	675235	3	0	16636719104	15859585024	1290.8	52	8
56.26	676176	3	0	16637333504	15859617792	1325.7	52	8
57.26	676538	3	0	16637620224	15859732480	1236.6	52	8
58.27	677231	3	0	16638099456	15859822592	1344.3	52	8
59.27	677659	3	0	16639741952	15860142080	1399.3	52	8
60.28	678532	3	0	16639639552	15860224000	1386.8	52	8
61.28	679107	3	0	16641093632	15860273152	1257.9	52	8
