t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6242304	339968	22.9	2	0
1.00	0	0	0	643047424	624017408	98.7	2	0
2.01	0	0	0	898412544	872710144	100.0	2	0
3.01	0	0	0	1333780480	1301286912	101.0	2	0
4.01	0	1	0	1829208064	1780326400	100.0	2	0
5.02	0	1	0	2198499328	2152837120	101.0	2	0
6.02	0	1	0	2366386176	2320232448	100.0	2	0
7.03	0	1	0	2782273536	2735480832	100.0	2	0
8.03	99008	2	99008	2939924480	2786177024	101.0	2	0
9.03	371449	2	371449	3219849216	2785099776	100.0	2	0
10.04	644765	2	644765	3500232704	2785099776	101.0	2	0
11.04	667625	2	667625	5149904896	4406312960	99.8	6	0
12.05	667625	2	667625	6947934208	6199758848	157.9	15	0
13.05	667625	2	667625	8813748224	8062054400	504.2	15	0
14.05	667625	2	667625	10024476672	9269395456	617.6	20	0
15.06	667625	351	667625	10033680384	9278119936	813.1	20	0
16.06	667625	584	667625	10041606144	9285021696	803.7	20	0
17.07	667625	1181	667625	10045931520	9289609216	817.7	20	0
18.07	667625	1181	667625	10049982464	9292959744	799.5	20	0
19.08	667625	1744	667625	10053410816	9294946304	809.8	20	0
20.08	667625	1744	667625	10057195520	9302675456	807.6	20	0
21.08	667625	2323	667625	10060513280	9305911296	809.9	20	0
22.09	667625	2323	667625	10063233024	9308758016	806.8	20	0
23.09	667625	2356	667625	10066173952	9311559680	800.1	20	0
24.10	667625	2886	667625	10067779584	9312108544	817.3	20	0
25.10	667625	3465	667625	10068709376	9312231424	809.9	20	0
26.11	667625	3630	667625	10069897216	9313619968	801.5	20	0
27.11	667625	4044	667625	10073174016	9316278272	816.0	20	0
28.11	667625	4044	667625	10075627520	9318961152	799.4	20	0
29.12	667625	4608	667625	10078941184	9321578496	817.7	20	0
30.12	667625	4657	667625	10081902592	9326415872	800.4	20	0
31.13	667625	4657	667625	10084265984	9329098752	807.3	20	0
32.13	667625	4657	667625	10086293504	9331879936	799.3	20	0
33.14	667625	5204	667625	10091671552	9335693312	808.9	20	0
34.14	667625	5800	667625	10094845952	9337798656	817.9	20	0
35.14	667625	6365	667625	10095292416	9337868288	809.9	20	0
36.15	667625	6680	667625	10095075328	9337905152	812.8	20	0
37.15	667625	6945	667625	10095718400	9337950208	804.6	20	0
38.16	667625	6945	667625	10096979968	9339899904	807.5	20	0
39.16	667625	6945	667625	10099666944	9342586880	799.5	20	0
40.17	667625	7624	667625	10103779328	9345523712	811.0	20	0
41.17	667625	8104	667625	10106585088	9348182016	816.8	20	0
42.17	667625	8336	667625	10109247488	9350828032	802.7	20	0
43.18	667625	8682	667625	10112126976	9353355264	814.1	20	0
44.18	667625	8682	667625	10115444736	9356476416	799.7	20	0
45.19	667625	8682	667625	10118381568	9359147008	807.4	20	0
46.19	667625	9292	667625	10121302016	9361883136	810.3	20	0
47.20	667625	9292	667625	10124238848	9364533248	799.4	20	0
48.20	667625	9292	667625	10126528512	9367474176	807.3	20	0
49.20	667625	9292	667625	10131091456	9371856896	799.6	20	0
50.21	667625	9292	667625	10135142400	9375776768	807.2	20	0
51.21	667625	9292	667625	10139152384	9379569664	799.3	20	0
52.22	667625	9836	667625	10143174656	9383206912	816.8	20	0
53.22	667625	9836	667625	10145492992	9384722432	800.0	20	0
54.23	667625	10167	667625	10147508224	9386274816	803.5	20	0
55.23	667625	12132	667625	10149109760	9386299392	842.9	20	0
56.24	667625	12132	667625	10148114432	9386344448	799.8	20	0
57.24	667625	12132	667625	10148102144	9386364928	807.9	20	0
58.24	667625	12132	667625	10147999744	9386389504	800.6	20	0
59.25	667625	13303	667625	10149167104	9386438656	828.6	20	0
60.25	667625	13303	667625	10148757504	9386467328	800.6	20	0
61.26	667625	13303	667625	10149801984	9386508288	807.7	20	0
62.26	667625	13303	667625	10151206912	9387687936	800.0	20	0
63.27	667625	13303	667625	10153652224	9390518272	807.4	20	0
64.27	667625	13303	667625	10156519424	9393143808	799.6	20	0
65.28	667625	13303	667625	10158604288	9395781632	799.3	20	0
66.28	667625	13303	667625	10162475008	9398632448	807.5	20	0
67.29	667625	15613	667625	10166915072	9401348096	839.9	20	0
68.29	667625	15613	667625	10169982976	9404473344	807.6	20	0
69.29	667625	15613	667625	10173329408	9407275008	799.4	20	0
70.30	667625	15613	667625	10175209472	9409966080	807.4	20	0
71.30	667625	16770	667625	10179641344	9412644864	819.7	20	0
72.31	667625	16770	667625	10183114752	9415720960	799.8	20	0
73.31	667625	16770	667625	10185195520	9418485760	807.4	20	0
74.31	667625	16770	667625	10188460032	9421234176	799.5	20	0
75.32	667625	16770	667625	10191200256	9423978496	807.5	20	0
76.32	667625	16770	667625	10194468864	9426898944	799.6	20	0
77.33	667625	16770	667625	10196967424	9429581824	807.4	20	0
78.33	667625	16770	667625	10199162880	9432371200	799.5	20	0
79.34	667625	18503	667625	10203451392	9434714112	830.0	20	0
80.34	667625	18503	667625	10206867456	9437388800	807.4	20	0
81.34	667625	18503	667625	10209366016	9440083968	799.6	20	0
82.35	667625	18503	667625	10211618816	9442750464	807.4	20	0
83.35	667625	18503	667625	10215120896	9446178816	799.4	20	0
84.36	667625	18503	667625	10219847680	9450872832	807.5	20	0
85.36	667625	18503	667625	10223943680	9454960640	799.4	20	0
86.37	667625	18503	667625	10228592640	9459060736	799.5	20	0
87.37	667625	18503	667625	10232541184	9463468032	807.5	20	0
88.38	667625	18503	667625	10236813312	9467596800	799.5	20	0
89.38	667625	18503	667625	10240868352	9471778816	807.4	20	0
90.38	667625	19031	667625	10245459968	9475018752	808.9	20	0
91.39	667625	19031	667625	10247077888	9476505600	807.5	20	0
92.39	667625	19031	667625	10248151040	9478303744	799.6	20	0
93.40	667625	19031	667625	10249314304	9479856128	800.0	20	0
94.40	667625	19031	667625	10251268096	9481404416	807.0	20	0
95.40	667625	23488	667625	10257137664	9481846784	877.0	20	0
96.41	667625	23570	667625	10257313792	9481879552	809.9	20	0
97.41	667625	23570	667625	10257420288	9481891840	799.6	20	0
98.42	667625	23570	667625	10256420864	9481900032	807.3	20	0
99.42	667625	23570	667625	10256314368	9481908224	799.3	20	0
100.43	667625	23570	667625	10256453632	9481912320	799.4	20	0
101.43	667625	23570	667625	10256617472	9481953280	807.6	20	0
102.43	667625	23570	667625	10256539648	9481981952	799.5	20	0
103.44	667625	25896	667625	10259681280	9481994240	847.9	20	0
104.44	667625	25896	667625	10259386368	9482006528	799.5	20	0
105.45	667625	25896	667625	10259578880	9482018816	807.5	20	0
106.45	667625	25896	667625	10259365888	9482018816	799.3	20	0
107.46	667625	25896	667625	10258870272	9482035200	799.4	20	0
108.46	667625	25896	667625	10259070976	9482067968	807.3	20	0
109.46	667625	25896	667625	10261536768	9484165120	799.4	20	0
110.47	667625	25896	667625	10263584768	9486618624	807.3	20	0
111.47	667625	25896	667625	10265268224	9488785408	798.8	20	0
112.48	667625	25896	667625	10267615232	9491140608	807.1	20	0
113.48	667625	25896	667625	10269036544	9493508096	799.6	20	0
114.49	667625	25896	667625	10271821824	9495863296	799.1	20	0
115.49	667625	25896	667625	10275733504	9498644480	807.4	20	0
116.50	667625	25896	667625	10278178816	9501413376	800.4	20	0
117.50	667625	25896	667625	10280865792	9504034816	806.6	20	0
118.50	667625	25896	667625	10282991616	9506541568	799.4	20	0
119.51	667625	30238	667625	10290909184	9509142528	883.5	20	0
120.51	667625	30486	667625	10293366784	9511849984	804.1	20	0
121.52	667625	30486	667625	10295779328	9514131456	799.2	20	0
122.52	667625	30486	667625	10299150336	9516912640	807.3	20	0
123.53	667625	30486	667625	10301087744	9519427584	799.5	20	0
124.53	667625	30486	667625	10304004096	9522184192	807.4	20	0
125.53	667625	30486	667625	10306551808	9524903936	800.0	20	0
126.54	667625	30486	667625	10309492736	9527590912	807.0	20	0
127.54	667625	32782	667625	10315038720	9530290176	839.5	20	0
128.55	667625	32782	667625	10317062144	9532989440	799.5	20	0
129.55	667625	32782	667625	10319454208	9535844352	807.4	20	0
130.56	667625	32782	667625	10322042880	9538445312	799.5	20	0
131.56	667625	32782	667625	10324627456	9541062656	807.2	20	0
132.56	667625	32782	667625	10328535040	9543827456	799.5	20	0
133.57	667625	32782	667625	10330841088	9546424320	807.3	20	0
134.57	667625	32782	667625	10332880896	9549185024	799.4	20	0
135.58	667625	32782	667625	10336661504	9551929344	799.6	20	0
136.58	667625	32782	667625	10338541568	9554583552	807.3	20	0
137.59	667625	32782	667625	10340712448	9557102592	799.5	20	0
138.59	667625	32782	667625	10343579648	9559777280	807.3	20	0
139.59	667625	32782	667625	10346409984	9562439680	799.4	20	0
140.60	667625	32782	667625	10348777472	9564987392	807.4	20	0
141.60	667625	32782	667625	10351472640	9567567872	799.4	20	0
142.61	667625	32782	667625	10354270208	9569968128	799.4	20	0
143.61	667625	32782	667625	10356125696	9572425728	807.3	20	0
144.62	667625	36859	667625	10363375616	9574621184	870.7	20	0
145.62	667625	36859	667625	10366021632	9577189376	807.4	20	0
146.62	667625	36859	667625	10368958464	9579962368	799.7	20	0
147.63	667625	36859	667625	10371796992	9582661632	807.6	20	0
148.63	667625	36859	667625	10374197248	9585033216	799.3	20	0
149.64	667625	36859	667625	10376482816	9587724288	799.7	20	0
150.64	667625	36859	667625	10378063872	9590075392	807.2	20	0
151.64	667625	36859	667625	10380812288	9592655872	800.0	20	0
152.65	667625	36859	667625	10385031168	9597497344	807.0	20	0
153.65	667625	36859	667625	10390126592	9603612672	799.5	20	0
154.66	667625	36859	667625	10394583040	9608048640	807.4	20	0
155.66	667625	36859	667625	10398351360	9612197888	799.4	20	0
156.67	667625	36859	667625	10403057664	9616539648	799.6	20	0
157.67	667625	36859	667625	10407202816	9620664320	807.4	20	0
158.68	667625	36859	667625	10411413504	9624944640	799.4	20	0
159.68	667625	36859	667625	10415501312	9628884992	807.3	20	0
160.68	667625	36859	667625	10419556352	9633320960	799.6	20	0
161.69	667625	36859	667625	10424012800	9637470208	807.4	20	0
162.69	667625	36859	667625	10428387328	9641684992	799.6	20	0
163.70	667625	36859	667625	10432475136	9645981696	800.6	20	0
164.70	667625	36859	667625	10436341760	9650159616	806.8	20	0
165.71	667625	36859	667625	10441400320	9654562816	799.4	20	0
166.71	667625	36859	667625	10445283328	9658970112	807.5	20	0
167.71	667625	37387	667625	10449199104	9661640704	808.9	20	0
168.72	667625	37387	667625	10450223104	9663258624	807.5	20	0
169.72	667625	37387	667625	10451030016	9664618496	799.6	20	0
170.73	667625	37387	667625	10453385216	9666080768	799.4	20	0
171.73	667625	37387	667625	10454122496	9667637248	807.3	20	0
172.74	667625	37387	667625	10455650304	9669001216	799.4	20	0
173.74	667625	37387	667625	10457620480	9670541312	807.5	20	0
174.74	667625	37387	667625	10458685440	9672179712	799.4	20	0
175.75	667625	37387	667625	10459734016	9673601024	807.3	20	0
176.75	667625	40033	667625	10464333824	9674637312	845.3	20	0
177.76	667625	46007	667625	10470445056	9674661888	903.4	20	0
178.76	667625	46782	667625	10471092224	9674674176	822.3	20	0
179.77	667625	46782	667625	10471374848	9674690560	799.6	20	0
180.77	667625	46782	667625	10471645184	9674706944	807.6	20	0
181.77	667625	46782	667625	10471686144	9674719232	799.4	20	0
182.78	667625	46782	667625	10471763968	9674731520	807.6	20	0
183.78	667625	46782	667625	10471538688	9674735616	799.6	20	0
184.79	667625	46782	667625	10471526400	9674739712	799.4	20	0
185.79	667625	46782	667625	10471796736	9674747904	807.5	20	0
186.79	667625	46782	667625	10471936000	9674768384	799.6	20	0
187.80	667625	46782	667625	10471550976	9674801152	807.2	20	0
188.80	667625	46782	667625	10471931904	9674928128	799.3	20	0
189.81	667625	46782	667625	10471849984	9674936320	807.3	20	0
190.81	667625	46782	667625	10472054784	9674944512	799.4	20	0
191.82	667625	46782	667625	10471989248	9674964992	799.4	20	0
192.82	667625	46782	667625	10471964672	9674985472	807.5	20	0
193.82	667625	51421	667625	10477547520	9675005952	880.7	20	0
194.83	667625	51421	667625	10477203456	9675018240	807.3	20	0
195.83	667625	51421	667625	10477023232	9675051008	799.8	20	0
196.84	667625	51421	667625	10477379584	9675079680	807.7	20	0
197.84	667625	51421	667625	10477023232	9675079680	799.1	20	0
198.85	667625	51421	667625	10476687360	9675087872	799.6	20	0
199.85	667625	51421	667625	10476457984	9675116544	807.6	20	0
200.85	667625	51421	667625	10476756992	9675132928	799.5	20	0
201.86	667625	51421	667625	10477006848	9675153408	807.5	20	0
202.86	667625	51421	667625	10476789760	9675153408	799.5	20	0
203.87	667625	51421	667625	10476822528	9675157504	799.9	20	0
204.87	667625	51421	667625	10476740608	9675165696	807.5	20	0
205.87	667625	51421	667625	10476941312	9675177984	799.6	20	0
206.88	667625	51421	667625	10479140864	9677221888	807.3	20	0
207.88	667625	51421	667625	10481573888	9680326656	799.8	20	0
208.89	667625	51421	667625	10484580352	9683058688	799.7	20	0
209.89	667625	51421	667625	10487623680	9685807104	807.6	20	0
210.89	667625	51421	667625	10490322944	9688543232	799.7	20	0
