t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6172672	303104	64.0	2	0
1.00	0	0	0	382664704	360620032	98.6	2	0
2.01	0	0	0	898437120	875376640	100.0	2	0
3.01	0	1	0	1339162624	1309204480	101.0	2	0
4.01	0	1	0	1725345792	1683648512	100.0	2	0
5.02	0	1	0	2049892352	2005061632	101.0	2	0
6.02	0	1	0	2524295168	2479968256	100.0	2	0
7.03	0	1	0	2624471040	2579591168	100.0	2	0
8.03	0	2	0	3734347776	3684474880	121.2	16	4
9.03	0	2	0	7355650048	7298789376	199.6	16	4
10.04	0	86	0	9345277952	9275740160	455.9	26	4
11.04	0	384	0	9353641984	9283645440	805.6	26	4
12.05	0	584	0	9358295040	9287901184	811.8	26	4
13.05	0	916	0	9366048768	9294831616	738.3	26	4
14.06	0	1164	0	9368276992	9296592896	587.1	26	4
15.06	0	1164	0	9370705920	9299795968	646.2	26	4
16.07	0	1181	0	9374654464	9303220224	615.7	26	4
17.07	0	1181	0	9375956992	9305133056	673.0	26	4
18.07	0	2257	0	9384218624	9313267712	602.4	26	4
19.08	0	2306	0	9389268992	9318551552	638.7	26	4
20.08	0	2323	0	9394819072	9324998656	620.8	26	4
21.09	0	2323	0	9396490240	9326571520	584.3	26	4
22.09	0	3448	0	9399246848	9328250880	689.7	26	4
23.10	0	3448	0	9399250944	9328414720	671.2	26	4
24.10	0	3465	0	9399369728	9328529408	673.8	26	4
25.10	0	3465	0	9399803904	9328660480	617.7	26	4
26.11	0	4110	0	9400356864	9328721920	616.6	26	4
27.11	0	4591	0	9400807424	9328807936	667.5	26	4
28.12	0	4624	0	9401688064	9328955392	702.0	26	4
29.12	0	4624	0	9401151488	9329041408	638.6	26	4
30.13	0	5767	0	9402146816	9329090560	642.5	26	4
31.13	0	5767	0	9402814464	9329139712	632.4	26	4
32.13	0	5783	0	9402433536	9329184768	656.6	26	4
33.14	0	5783	0	9402736640	9329262592	643.6	26	4
34.14	0	6911	0	9403768832	9329307648	648.2	26	4
35.15	0	6911	0	9402400768	9329356800	637.5	26	4
36.15	0	6944	0	9402617856	9329397760	640.8	26	4
37.16	0	6944	0	9402785792	9329438720	649.4	26	4
38.16	0	7060	0	9404084224	9329483776	688.7	26	4
39.16	0	8070	0	9405054976	9329602560	644.9	26	4
40.17	0	8103	0	9405509632	9329635328	653.4	26	4
41.17	0	8103	0	9405157376	9329684480	618.7	26	4
42.18	0	8103	0	9405378560	9329754112	627.8	26	4
43.18	0	9226	0	9407623168	9330704384	681.5	26	4
44.19	0	9242	0	9407356928	9330728960	649.5	26	4
45.19	0	9242	0	9407815680	9330745344	584.5	26	4
46.20	0	9836	0	9409024000	9330798592	665.3	26	4
47.20	0	10380	0	9408634880	9330827264	667.4	26	4
48.20	0	10397	0	9409253376	9330876416	595.7	26	4
49.21	0	10397	0	9408696320	9330900992	635.4	26	4
50.21	0	10660	0	9409196032	9330929664	622.3	26	4
51.22	0	11536	0	9411141632	9330962432	629.2	26	4
52.22	0	11536	0	9410011136	9331027968	646.9	26	4
53.23	0	11569	0	9410584576	9331044352	634.3	26	4
54.23	0	11933	0	9410834432	9331056640	619.7	26	4
55.23	0	12709	0	9411932160	9331068928	690.8	26	4
56.24	0	12725	0	9411407872	9331195904	683.9	26	4
57.24	0	12725	0	9411788800	9331204096	628.6	26	4
58.25	0	13731	0	9413758976	9331224576	668.7	26	4
59.25	0	13863	0	9412431872	9331249152	605.8	26	4
60.25	0	13896	0	9413005312	9331269632	609.4	26	4
61.26	0	13896	0	9413091328	9331314688	665.9	26	4
62.26	0	14753	0	9414021120	9331367936	642.4	26	4
63.27	0	15018	0	9414070272	9331384320	656.1	26	4
64.27	0	15051	0	9414684672	9331425280	676.6	26	4
65.28	0	15051	0	9414672384	9331441664	631.1	26	4
66.28	0	15876	0	9415614464	9331490816	636.0	26	4
67.28	0	16173	0	9415643136	9331527680	609.8	26	4
68.29	0	16173	0	9416568832	9331568640	615.9	26	4
69.29	0	16206	0	9416519680	9331601408	692.4	26	4
70.30	0	16968	0	9416736768	9331621888	707.8	26	4
71.30	0	17316	0	9417367552	9331658752	649.9	26	4
72.30	0	17316	0	9416343552	9331675136	616.7	26	4
73.31	0	17332	0	9416720384	9331695616	602.1	26	4
74.31	0	17332	0	9417248768	9331720192	675.0	26	4
75.32	0	18436	0	9418760192	9331736576	660.7	26	4
76.32	0	18436	0	9418600448	9331773440	663.7	26	4
77.33	0	18469	0	9418321920	9331777536	606.9	26	4
78.33	0	18469	0	9418072064	9331793920	637.0	26	4
79.33	0	19575	0	9419776000	9331818496	707.6	26	4
80.34	0	19575	0	9419415552	9331822592	605.8	26	4
81.34	0	19591	0	9419857920	9331847168	608.4	26	4
82.35	0	19591	0	9419292672	9331847168	650.0	26	4
83.35	0	20697	0	9419825152	9331879936	689.8	26	4
84.35	0	20713	0	9420857344	9331957760	636.9	26	4
85.36	0	20713	0	9420460032	9331994624	663.9	26	4
86.36	0	20977	0	9420632064	9332002816	643.1	26	4
87.37	0	21820	0	9421225984	9332015104	633.5	26	4
