t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6201344	303104	59.4	2	0
1.00	0	0	0	386404352	356102144	98.6	2	0
2.01	0	0	0	897814528	874913792	100.0	2	0
3.01	0	0	0	1334595584	1302003712	101.0	2	0
4.01	0	1	0	1749311488	1704738816	100.0	2	0
5.02	0	1	0	2203480064	2157748224	101.0	2	0
6.02	0	1	0	2555334656	2508955648	100.0	2	0
7.03	0	1	0	2796986368	2750099456	100.0	2	0
8.03	84313	2	84313	2924978176	2787487744	101.0	2	0
9.03	352678	2	352678	3200724992	2784530432	100.0	2	0
10.04	621706	2	621706	3476963328	2784530432	101.0	2	0
11.04	889467	2	889467	3751661568	2784530432	100.0	2	0
12.05	1158057	2	1158057	4027392000	2784530432	100.0	2	0
13.05	1335250	3	1335250	4775202816	3347505152	100.8	6	0
14.05	1335250	3	1335250	6618099712	5187014656	100.0	6	0
15.06	1335250	3	1335250	8437661696	7001194496	335.0	15	0
16.06	1335250	3	1335250	10269691904	8829022208	499.2	15	0
17.07	1335250	3	1335250	12129210368	10683801600	822.6	24	0
18.07	1335250	3	1335250	13937369088	12489064448	930.5	33	0
19.07	1335250	3	1335250	15814049792	14362578944	1304.3	33	0
20.08	1335250	3	1335250	17204248576	15749361664	1404.2	38	0
21.09	1335250	3	1335250	17232113664	15777189888	1609.4	38	0
22.09	1335250	3	1335250	17266724864	15812284416	1623.0	38	0
23.10	1335250	20	1335250	17299972096	15844884480	1623.4	38	0
24.10	1335250	20	1335250	17318760448	15863627776	1608.8	38	0
25.11	1335250	501	1335250	17336250368	15881031680	1638.7	38	0
26.11	1335250	2323	1335250	17356697600	15899033600	1668.0	38	0
27.12	1335250	2440	1335250	17370415104	15912656896	1627.8	38	0
28.13	1335250	2770	1335250	17382744064	15923855360	1620.7	38	0
29.13	1335250	2770	1335250	17394110464	15935557632	1623.6	38	0
30.14	1335250	2902	1335250	17403944960	15945244672	1626.8	38	0
31.14	1335250	2902	1335250	17409593344	15951142912	1608.9	38	0
32.15	1335250	3465	1335250	17415770112	15956471808	1641.8	38	0
33.15	1335250	3465	1335250	17431183360	15973130240	1608.4	38	0
34.16	1335250	3465	1335250	17451581440	15992815616	1623.5	38	0
35.16	1335250	3465	1335250	17491103744	16031961088	1609.0	38	0
36.17	1335250	5204	1335250	17506545664	16045281280	1680.2	38	0
37.18	1335250	5552	1335250	17518243840	16056901632	1620.2	38	0
38.18	1335250	5552	1335250	17528918016	16068222976	1623.2	38	0
39.19	1335250	5784	1335250	17539596288	16077234176	1630.7	38	0
40.19	1335250	6945	1335250	17545637888	16082984960	1646.9	38	0
41.20	1335250	6945	1335250	17550565376	16088342528	1623.9	38	0
42.20	1335250	6945	1335250	17557925888	16095481856	1607.8	38	0
43.21	1335250	6945	1335250	17566228480	16103858176	1624.5	38	0
44.22	1335250	6945	1335250	17578668032	16116326400	1608.6	38	0
45.22	1335250	6945	1335250	17592586240	16130322432	1623.7	38	0
46.23	1335250	6945	1335250	17606901760	16144027648	1623.1	38	0
47.23	1335250	6945	1335250	17619181568	16157466624	1608.0	38	0
48.24	1335250	7525	1335250	17636065280	16172711936	1643.7	38	0
