t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6209536	303104	63.7	2	0
1.00	0	0	0	382590976	360620032	98.3	2	0
2.01	0	0	0	898375680	875372544	101.0	2	0
3.01	0	1	0	1337184256	1304096768	100.0	2	0
4.01	0	1	0	1747165184	1705594880	101.0	2	0
5.02	0	1	0	2202517504	2159706112	100.0	2	0
6.02	0	1	0	2555576320	2511409152	100.0	2	0
7.03	0	1	0	2792689664	2748342272	101.0	2	0
8.03	0	2	0	5065502720	5011378176	189.2	30	8
9.03	0	2	0	12277219328	12208758784	402.8	30	8
10.04	0	102	0	15816634368	15731265536	1028.4	50	8
11.04	0	385	0	15842959360	15756136448	1640.1	50	8
12.05	0	401	0	15856238592	15769907200	1617.1	50	8
13.06	0	551	0	15880306688	15793397760	1609.4	50	8
14.06	0	733	0	15905525760	15819780096	1434.9	50	8
15.06	0	1148	0	15916179456	15831441408	1479.2	50	8
16.07	0	1612	0	15926747136	15841558528	1418.4	50	8
17.07	0	1612	0	15949987840	15864102912	1502.8	50	8
18.08	0	1711	0	15974617088	15889461248	1479.7	50	8
19.08	0	2472	0	15989055488	15901605888	1504.8	50	8
20.09	0	2472	0	16000360448	15913578496	1491.7	50	8
21.09	0	2853	0	16012951552	15925301248	1433.1	50	8
22.10	0	2853	0	16023629824	15937028096	1445.9	50	8
23.10	0	3167	0	16037617664	15950127104	1521.6	50	8
24.11	0	3167	0	16050745344	15963295744	1466.6	50	8
25.12	0	3167	0	16062402560	15974932480	1476.2	50	8
26.12	0	3167	0	16077549568	15989821440	1423.7	50	8
27.13	0	3167	0	16091533312	16003788800	1460.3	50	8
28.13	0	3167	0	16105381888	16017899520	1478.7	50	8
29.14	0	3167	0	16119119872	16031567872	1455.3	50	8
30.14	0	3167	0	16133545984	16045780992	1482.7	50	8
31.15	0	3614	0	16142909440	16055042048	1470.9	50	8
32.15	0	3994	0	16150167552	16062230528	1474.9	50	8
33.16	0	3994	0	16160501760	16072667136	1453.0	50	8
34.16	0	3994	0	16174149632	16085553152	1384.9	50	8
35.17	0	3994	0	16212852736	16124633088	1444.1	50	8
36.17	0	3994	0	16234049536	16145313792	1501.6	50	8
37.18	0	3994	0	16248434688	16159559680	1443.6	50	8
38.19	0	3994	0	16261914624	16173092864	1451.7	50	8
39.19	0	4674	0	16276586496	16186834944	1535.2	50	8
40.20	0	5933	0	16289505280	16199098368	1522.1	50	8
41.20	0	5933	0	16302256128	16211410944	1408.0	50	8
42.21	0	5933	0	16315691008	16226459648	1475.8	50	8
43.21	0	5933	0	16331571200	16241401856	1463.3	50	8
44.22	0	5933	0	16346685440	16256352256	1476.1	50	8
45.22	0	5933	0	16360763392	16270565376	1481.3	50	8
46.23	0	5933	0	16375713792	16284467200	1403.7	50	8
47.23	0	5933	0	16388087808	16298602496	1425.9	50	8
48.24	0	6348	0	16415379456	16324976640	1514.8	50	8
49.24	0	6348	0	16428765184	16337395712	1440.2	50	8
50.25	0	6348	0	16445558784	16354652160	1450.2	50	8
51.25	0	6348	0	16458604544	16367484928	1445.9	50	8
52.26	0	7475	0	16470478848	16378089472	1484.9	50	8
53.26	0	8633	0	16478527488	16385155072	1483.5	50	8
54.27	0	8633	0	16485507072	16392183808	1469.4	50	8
55.27	0	8633	0	16491503616	16398934016	1441.5	50	8
56.28	0	10561	0	16500940800	16404791296	1478.1	50	8
57.28	0	12875	0	16510758912	16412966912	1580.9	50	8
58.29	0	12875	0	16522211328	16424038400	1463.3	50	8
59.30	0	12875	0	16533762048	16435236864	1474.8	50	8
60.30	0	12875	0	16546340864	16448073728	1438.0	50	8
61.31	0	12875	0	16556937216	16458878976	1443.5	50	8
62.31	0	12875	0	16567537664	16469241856	1375.4	50	8
63.32	0	12875	0	16577949696	16479494144	1464.5	50	8
64.32	0	12875	0	16587923456	16489791488	1440.2	50	8
65.32	0	12875	0	16599101440	16500482048	1467.3	50	8
66.33	0	12875	0	16610422784	16511578112	1496.3	50	8
67.34	0	12875	0	16621428736	16522571776	1452.6	50	8
68.34	0	12875	0	16631177216	16532836352	1465.7	50	8
69.35	0	12875	0	16642756608	16544133120	1452.9	50	8
70.35	0	12875	0	16654184448	16555085824	1432.1	50	8
71.36	0	12875	0	16663810048	16565493760	1484.5	50	8
72.36	0	12875	0	16674656256	16576225280	1490.2	50	8
73.37	0	13253	0	16687820800	16588087296	1464.2	50	8
74.37	0	13253	0	16699936768	16600358912	1470.0	50	8
75.38	0	13253	0	16712060928	16612773888	1436.2	50	8
76.38	0	13253	0	16724160512	16624635904	1436.1	50	8
77.39	0	13253	0	16735985664	16636792832	1439.9	50	8
78.39	0	13253	0	16747401216	16648777728	1458.2	50	8
79.40	0	13253	0	16760590336	16662159360	1537.2	50	8
80.40	0	13253	0	16771829760	16673902592	1435.9	50	8
81.41	0	13253	0	16784941056	16685993984	1434.4	50	8
82.41	0	13253	0	16798056448	16699039744	1441.7	50	8
83.42	0	13253	0	16810528768	16712384512	1432.0	50	8
84.42	0	13253	0	16824434688	16725491712	1423.7	50	8
85.43	0	13253	0	16838635520	16739704832	1475.2	50	8
86.43	0	13253	0	16853118976	16753815552	1476.1	50	8
87.44	0	13253	0	16866893824	16767586304	1445.8	50	8
88.44	0	13253	0	16880246784	16781049856	1469.9	50	8
89.45	0	13253	0	16894861312	16794857472	1414.3	50	8
90.46	0	17217	0	16909615104	16805302272	1484.1	50	8
91.46	0	17481	0	16921944064	16818032640	1506.1	50	8
92.47	0	17481	0	16933556224	16830181376	1437.1	50	8
93.47	0	17481	0	16945831936	16842407936	1429.4	50	8
94.47	0	17481	0	16958476288	16854413312	1412.2	50	8
95.48	0	17481	0	16970588160	16866955264	1470.6	50	8
96.48	0	17481	0	16982700032	16879300608	1471.7	50	8
97.49	0	17481	0	16995651584	16891568128	1460.5	50	8
98.50	0	17481	0	17007398912	16903589888	1487.9	50	8
99.50	0	17481	0	17018519552	16915243008	1379.0	50	8
100.51	0	17481	0	17030496256	16927326208	1445.4	50	8
101.51	0	17481	0	17042100224	16939212800	1428.2	50	8
102.51	0	17481	0	17054982144	16951685120	1434.3	50	8
103.52	0	17481	0	17067220992	16964108288	1441.0	50	8
104.53	0	17481	0	17079558144	16976232448	1489.1	50	8
105.53	0	17481	0	17092239360	16988303360	1449.8	50	8
106.54	0	17531	0	17103962112	16999985152	1518.7	50	8
107.54	0	21606	0	17120505856	17012154368	1525.2	50	8
108.55	0	22367	0	17132802048	17024675840	1527.5	50	8
109.55	0	22367	0	17147326464	17037881344	1484.7	50	8
110.56	0	22367	0	17159639040	17050886144	1445.2	50	8
111.56	0	22367	0	17172484096	17063497728	1436.4	50	8
112.57	0	22367	0	17184395264	17076158464	1460.9	50	8
113.57	0	22367	0	17197260800	17088438272	1456.2	50	8
114.58	0	22367	0	17210380288	17100713984	1462.2	50	8
115.58	0	22367	0	17227370496	17118633984	1409.1	50	8
116.59	0	22367	0	17240207360	17131094016	1446.1	50	8
117.59	0	22367	0	17252777984	17143242752	1411.9	50	8
118.60	0	22367	0	17264996352	17155653632	1479.2	50	8
119.60	0	22367	0	17277095936	17168084992	1465.0	50	8
120.61	0	22367	0	17289187328	17180364800	1485.9	50	8
