File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
SRR3180963_GSM2067924_ES_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	20365185	3958730	14983700	1422755	0	1082270	2876460	80612561	2967874	1501231	1566698	18065063	4556732	51954963
SRR3180963_GSM2067924_ES_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	20190914	3737618	14894037	1559259	0	1195447	2542171	69809803	2544306	1326397	1359080	15560515	4167956	44851549
SRR3180964_GSM2067925_ES_single_cell_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	22096446	4481752	16119511	1495183	0	1368291	3113461	87111544	2726077	2056931	1696775	19370847	5013891	56247023
SRR3180964_GSM2067925_ES_single_cell_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	21902804	3763725	16650407	1488672	0	1257685	2506040	68702901	2144921	1692203	1353215	15314267	4191406	44006889
SRR3180965_GSM2067926_ES_single_cell_3_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	21756802	3573292	16775207	1408303	0	931136	2642156	74428505	2699419	1234130	1414547	16476091	4127209	48477109
SRR3180965_GSM2067926_ES_single_cell_3_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	21563404	3037275	17090750	1435378	1	867793	2169482	59916889	2160793	1036380	1142949	13282808	3513819	38780140
SRR3670357_GSM2200651_ES_bulk_cells_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	57877385	18030296	37562573	2284513	3	1759612	16270684	455475847	14757600	9884966	9381577	102927706	26057911	292466087
SRR3670357_GSM2200651_ES_bulk_cells_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	57154228	15484988	39280362	2388875	3	1323385	14161603	381477694	12313311	8264109	7971307	85665412	22387119	244876436
SRR3670358_GSM2200652_ES_bulk_cells_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	108937599	35470927	69251269	4215401	2	4345504	31125423	883040179	28369085	17924630	18053416	195581613	50710890	572400545
SRR3670358_GSM2200652_ES_bulk_cells_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	107482564	28271925	75400439	3810196	4	3063080	25208845	690160157	21952244	14211549	14234237	152618601	40631015	446512511
